run_id,plate_id,time_s,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,F7,G1,G2,G3,G4,G5,G6,G7,H1,H2,H3,H4,H5,H6,H7
260216-1,plate1,6.0,511,545,623,547,449,269,246,691,631,646,498,413,240,215,641,636,684,576,427,249,218,868,850,809,713,574,270,225,765,736,973,642,626,238,226,950,828,862,612,586,257,243,794,683,971,740,710,305,273,1269,1183,1169,861,659,295,255
260216-1,plate1,36.0,1312,1194,1147,904,615,290,252,1558,1291,1132,801,548,255,220,1417,1270,1187,891,576,266,219,1706,1557,1372,1109,790,293,229,1426,1244,1680,938,856,254,229,1673,1355,1360,877,760,256,246,1289,1062,1497,1055,909,338,282,2117,1896,1777,1226,857,314,259
260216-1,plate1,66.0,2108,1913,1695,1251,778,302,253,2434,1931,1617,1097,689,265,226,2180,1881,1675,1208,737,278,227,2533,2245,1930,1500,1011,318,234,2069,1741,2368,1235,1063,264,234,2340,1894,1823,1120,937,263,253,1745,1464,2024,1331,1112,362,298,2940,2564,2338,1581,1051,337,265
260216-1,plate1,96.0,2919,2484,2208,1591,939,323,257,3181,2556,2064,1374,823,279,228,2938,2468,2165,1519,908,294,229,3302,2903,2426,1871,1224,341,242,2656,2217,2984,1518,1268,276,235,2955,2383,2329,1389,1119,269,251,2149,1839,2499,1671,1322,386,309,3693,3222,2861,1935,1248,352,271
260216-1,plate1,126.0,3611,3063,2732,1927,1096,334,263,3900,3114,2524,1654,954,293,231,3629,3054,2648,1825,1040,308,234,4001,3546,2954,2238,1436,363,246,3224,2675,3590,1809,1483,284,235,3577,2829,2710,1626,1301,275,257,2532,2180,3008,1957,1542,414,315,4409,3843,3351,2276,1440,376,278
260216-1,plate1,156.0,4222,3651,3210,2252,1269,348,264,4535,3681,2929,1926,1079,301,233,4231,3563,3082,2122,1161,320,240,4637,4124,3420,2600,1655,385,252,3742,3137,4147,2105,1688,298,236,4102,3267,3129,1878,1470,283,255,2943,2517,3484,2197,1780,445,319,5044,4419,3845,2597,1639,396,282
260216-1,plate1,186.0,4862,4199,3652,2568,1417,361,268,5163,4197,3347,2194,1204,313,234,4845,4078,3509,2401,1321,337,242,5221,4663,3850,2955,1850,400,256,4279,3588,4687,2368,1901,300,240,4631,3744,3485,2110,1626,287,258,3403,2850,3947,2498,2028,479,330,5620,4968,4322,2912,1812,409,286
260216-1,plate1,216.0,5404,4686,4107,2888,1576,378,269,5733,4700,3751,2466,1319,327,239,5362,4592,3937,2709,1456,354,244,5748,5164,4303,3297,2045,422,264,4744,4030,5193,2635,2094,312,245,5112,4114,3829,2354,1769,298,260,3934,3246,4386,2623,2264,509,334,6158,5487,4797,3247,2008,431,291
260216-1,plate1,246.0,5881,5131,4507,3184,1737,392,273,6209,5158,4134,2711,1449,335,240,5882,5029,4335,2984,1601,371,248,6242,5651,4727,3593,2251,445,265,5159,4473,5691,2897,2299,324,247,5502,4487,4208,2560,1933,298,258,4418,3737,4792,2896,2494,541,342,6648,5952,5179,3516,2188,453,297
260216-1,plate1,276.0,6347,5591,4920,3475,1870,407,278,6629,5554,4490,2966,1581,347,247,6289,5430,4696,3246,1753,384,256,6715,6106,5139,3927,2444,471,271,5566,4916,6161,3165,2492,335,255,5950,4878,4547,2756,2056,315,261,4956,4133,5172,3124,2759,565,349,7072,6405,5594,3807,2367,473,301
260216-1,plate1,306.0,6799,6007,5278,3765,2031,421,280,7068,5963,4825,3196,1700,358,247,6695,5879,5055,3531,1880,401,258,7054,6539,5529,4229,2626,489,276,5976,5286,6537,3413,2689,345,255,6315,5217,4911,2992,2260,310,260,5429,4554,5592,3324,2999,595,364,7487,6864,5991,4089,2549,495,310
260216-1,plate1,336.0,7174,6417,5649,4037,2189,438,282,7439,6368,5176,3455,1830,370,252,7084,6236,5358,3782,2029,415,262,7426,6854,5911,4528,2822,513,282,6273,5678,6948,3650,2863,354,255,6646,5523,5252,3185,2394,322,264,5894,4951,5958,3636,3228,624,375,7810,7234,6333,4388,2722,514,314
260216-1,plate1,366.0,7501,6786,6006,4313,2340,454,287,7759,6720,5522,3672,1961,383,252,7431,6621,5690,4027,2158,429,266,7742,7261,6236,4809,2993,529,284,6524,6059,7305,3881,3026,367,256,6984,5853,5546,3398,2498,328,263,6307,5376,6288,3932,3457,671,383,8167,7631,6688,4660,2903,533,323
260216-1,plate1,396.0,7764,7104,6335,4555,2491,462,291,8058,7066,5843,3896,2065,391,257,7708,6923,6009,4291,2280,448,270,8016,7632,6586,5092,3166,554,291,6909,6370,7690,4099,3221,377,265,7240,6117,5901,3591,2645,327,266,6675,5738,6613,4267,3681,711,395,8397,7938,7027,4916,3075,552,327
260216-1,plate1,426.0,8064,7458,6607,4823,2636,484,295,8317,7403,6096,4130,2178,406,258,7970,7280,6330,4531,2424,460,275,8235,7935,6868,5347,3363,577,296,7235,6671,7995,4297,3387,387,266,7493,6417,6223,3785,2813,332,266,6991,6037,6919,4542,3847,749,396,8607,8238,7331,5143,3257,571,331
260216-1,plate1,456.0,8335,7767,6928,5057,2777,501,293,8554,7648,6406,4332,2311,415,258,8198,7561,6561,4763,2552,473,277,8476,8230,7174,5605,3528,602,305,7576,6962,8255,4567,3558,396,268,7843,6682,6501,3961,2963,338,270,7243,6337,7252,4865,3971,771,409,8782,8507,7642,5409,3415,595,333
260216-1,plate1,486.0,8544,8020,7200,5290,2951,509,302,8767,7921,6699,4560,2418,427,263,8448,7836,6848,4968,2685,487,284,8623,8477,7460,5876,3707,629,306,7830,7188,8552,4733,3735,407,263,8049,6893,6825,4121,3125,342,268,7442,6592,7509,5185,4175,809,423,8964,8810,7852,5630,3584,610,338
260216-1,plate1,516.0,8762,8271,7451,5510,3070,534,306,8862,8240,6939,4746,2559,442,267,8700,8141,7068,5203,2810,502,284,8749,8755,7688,6093,3873,648,316,8046,7428,8826,4911,3912,413,271,8177,7191,7064,4307,3259,344,269,7782,6816,7816,5356,4344,837,435,9017,9057,8180,5891,3754,633,348
260216-1,plate1,546.0,8884,8486,7703,5735,3214,545,307,9027,8424,7246,4922,2666,451,268,8821,8287,7296,5430,2949,526,289,8881,8940,7987,6324,4065,673,318,8262,7709,9012,5139,4072,425,275,8435,7420,7413,4479,3379,346,274,7895,6957,8031,5723,4505,868,441,8954,9228,8423,6094,3914,653,354
260216-1,plate1,576.0,9022,8794,7971,5951,3366,560,312,8935,8681,7423,5170,2772,461,274,8934,8526,7512,5649,3076,539,296,8843,9126,8237,6513,4205,692,325,8427,7859,9259,5335,4234,436,278,8600,7679,7532,4689,3563,361,274,8110,7166,8303,5879,4721,900,459,8832,9320,8618,6298,4039,681,360
260216-1,plate1,606.0,9004,8985,8138,6148,3480,576,312,8995,8767,7700,5320,2878,480,276,8916,8737,7792,5792,3204,552,300,8760,9335,8452,6762,4391,714,331,8586,8023,9485,5502,4388,446,283,8742,7881,7760,4834,3700,360,272,8148,7274,8492,6101,4896,947,468,8684,9338,8934,6533,4202,703,365
260216-1,plate2,6.0,509,609,508,628,449,336,332,679,667,571,586,485,307,308,726,742,624,626,527,288,344,571,587,519,557,545,320,319,985,982,799,861,712,379,272,901,828,667,652,543,313,283,933,848,711,718,621,335,300,971,976,778,709,609,341,307
260216-1,plate2,36.0,1331,1318,923,905,576,343,334,1539,1339,970,817,610,318,315,1646,1474,1046,860,673,298,369,1033,1003,842,759,710,361,329,1965,1761,1295,1202,907,429,279,1570,1324,973,852,664,330,286,1630,1363,1041,933,761,352,301,1565,1501,1132,920,739,355,309
260216-1,plate2,66.0,2234,2031,1323,1139,701,356,336,2385,2004,1376,1038,725,325,313,2553,2182,1458,1094,813,309,396,1558,1442,1202,970,905,404,339,2884,2504,1773,1518,1103,473,284,2216,1806,1281,1043,784,341,286,2285,1831,1374,1135,902,371,300,2144,2014,1490,1132,880,371,317
260216-1,plate2,96.0,3100,2704,1727,1330,823,365,342,3197,2643,1789,1262,850,334,318,3406,2837,1870,1320,950,319,423,2055,1924,1583,1178,1093,437,352,3741,3176,2237,1835,1304,517,286,2807,2256,1579,1248,902,351,288,2916,2310,1690,1346,1035,382,310,2667,2490,1846,1330,1005,383,315
260216-1,plate2,126.0,3880,3365,2094,1568,943,371,341,3936,3242,2182,1488,972,342,316,4172,3461,2267,1541,1083,331,451,2580,2393,1955,1368,1287,472,362,4496,3838,2680,2129,1490,562,293,3383,2681,1873,1434,1015,364,291,3482,2748,1991,1554,1164,399,311,3168,2915,2143,1514,1131,400,318
260216-1,plate2,156.0,4622,3945,2482,1783,1062,384,350,4616,3805,2568,1697,1106,353,323,4869,4047,2637,1760,1212,339,480,3063,2889,2328,1556,1498,502,374,5180,4419,3128,2431,1679,607,298,3865,3109,2169,1633,1127,378,292,3996,3163,2301,1761,1302,426,317,3640,3372,2444,1706,1244,411,323
260216-1,plate2,186.0,5253,4468,2842,2024,1185,392,351,5219,4362,2923,1905,1213,364,324,5558,4589,3008,1973,1358,350,507,3561,3353,2705,1755,1705,537,392,5816,4964,3540,2716,1865,649,306,4373,3509,2464,1824,1234,382,295,4490,3570,2607,1949,1427,438,313,4087,3749,2722,1895,1374,425,329
260216-1,plate2,216.0,5828,5010,3204,2255,1306,402,357,5780,4811,3299,2123,1332,376,326,6100,5118,3366,2191,1487,360,535,4023,3803,3081,1961,1878,572,399,6369,5445,3946,2995,2033,699,307,4827,3908,2751,2008,1353,400,299,4976,3940,2899,2144,1560,453,320,4548,4100,2998,2063,1480,440,331
260216-1,plate2,246.0,6411,5509,3534,2470,1429,410,356,6330,5287,3656,2344,1451,382,327,6624,5574,3698,2412,1618,371,567,4474,4226,3420,2166,2045,606,404,6870,5895,4322,3259,2212,745,315,5260,4298,3027,2165,1466,410,299,5433,4308,3208,2352,1679,467,324,5005,4534,3263,2255,1600,456,333
260216-1,plate2,276.0,6908,5916,3872,2699,1541,423,358,6872,5708,3953,2518,1576,387,329,7140,5959,4033,2620,1744,376,594,4873,4614,3761,2341,2214,641,410,7336,6353,4657,3522,2392,784,323,5697,4631,3283,2339,1584,420,303,5855,4680,3467,2542,1811,487,324,5381,4849,3552,2445,1727,467,339
260216-1,plate2,306.0,7342,6341,4162,2931,1662,432,363,7335,6123,4310,2727,1687,398,330,7513,6374,4366,2819,1879,389,624,5281,4976,4065,2554,2371,684,423,7710,6741,5042,3770,2559,830,327,6057,4947,3528,2513,1684,432,308,6289,4992,3746,2752,1928,498,322,5800,5218,3818,2599,1844,481,339
260216-1,plate2,336.0,7806,6740,4494,3150,1773,443,365,7693,6464,4633,2926,1810,410,339,7963,6742,4667,3037,2003,400,647,5672,5363,4358,2743,2521,711,430,8093,7098,5391,4049,2718,871,336,6464,5277,3762,2661,1795,444,311,6567,5303,4026,2918,2061,514,336,6143,5569,4059,2790,1966,498,343
260216-1,plate2,366.0,8080,7088,4788,3330,1877,453,365,8105,6792,4926,3115,1910,415,336,8290,7098,4965,3236,2131,405,674,6002,5673,4670,2946,2654,742,444,8420,7371,5721,4258,2904,916,339,6791,5533,4007,2795,1898,453,316,6914,5602,4257,3095,2169,531,333,6436,5902,4338,2970,2087,509,347
260216-1,plate2,396.0,8467,7438,5090,3539,2015,466,369,8388,7109,5261,3305,2041,426,342,8527,7434,5274,3435,2251,417,704,6341,6020,4910,3135,2836,775,448,8706,7684,6010,4498,3050,971,341,7102,5792,4234,2946,2004,459,316,7184,5858,4520,3267,2268,546,347,6763,6160,4613,3124,2173,526,346
260216-1,plate2,426.0,8759,7720,5355,3743,2133,479,371,8630,7445,5535,3518,2146,437,346,8851,7684,5506,3607,2367,432,733,6652,6315,5166,3306,2988,815,462,8925,7981,6325,4690,3215,1009,347,7409,6059,4449,3059,2083,469,322,7569,6122,4791,3453,2380,562,345,7100,6426,4824,3299,2319,535,348
