run_id,polymer_id,reference_polymer_id,t50_min,t50_sem_min,t50_activity_adjusted_min,t50_activity_adjusted_sem_min,t50_censored,t50_definition,t50_target_rea_percent,rea_at_20_percent,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,activity_weight,use_for_bo,rank_t50
260209-3,PMBTA-11,GOX,13.740395923646917,,11.535326294383026,,0,rea50,50.0,36.63417819483412,19.68952380952381,23.45333333333333,23.45333333333333,0.8395192073418339,0.8395192073418339,True,1
260209-3,PMBTA-4,GOX,12.630045369733926,,11.148864056171362,,0,rea50,50.0,32.654621117221176,20.70285714285713,23.45333333333333,23.45333333333333,0.8827255745959551,0.8827255745959551,True,2
260209-3,PMBTA-7,GOX,10.306793152544651,,10.306793152544651,,0,rea50,50.0,25.73209746312276,25.03333333333333,23.45333333333333,23.45333333333333,1.0673678226264924,1.0,True,3
260209-3,PMBTA-9,GOX,9.75560789253103,,9.75560789253103,,0,rea50,50.0,22.31214731214732,25.653333333333325,23.45333333333333,23.45333333333333,1.0938032973280272,1.0,True,4
260209-3,PMBTA-3,GOX,9.521070422484636,,9.521070422484636,,0,rea50,50.0,21.40056301359876,24.34333333333333,23.45333333333333,23.45333333333333,1.0379476975554291,1.0,True,5
260209-3,GOx,GOX,9.279807323092594,,9.279807323092594,,0,rea50,50.0,26.10655404856656,23.45333333333333,23.45333333333333,23.45333333333333,1.0,1.0,True,6
260209-3,PMBTA-5,GOX,9.237697733442822,,9.237697733442822,,0,rea50,50.0,21.43587131822426,25.5,23.45333333333333,23.45333333333333,1.0872654917566802,1.0,True,7
260209-3,GOx with DMSO,GOX,8.965201494920208,,8.965201494920208,,0,rea50,50.0,24.659706620853697,25.22333333333333,23.45333333333333,23.45333333333333,1.07546901648664,1.0,True,8
260209-3,PMPC,GOX,13.272634631360342,,8.803778542433015,,0,rea50,50.0,27.899676924746583,15.55666666666666,23.45333333333333,23.45333333333333,0.6633030130756109,0.6633030130756109,True,9
260209-3,PMBTA-8,GOX,8.766010793238843,,8.766010793238843,,0,rea50,50.0,20.961938127189608,25.51666666666666,23.45333333333333,23.45333333333333,1.0879761227970437,1.0,True,10
260209-3,PMBTA-2,GOX,8.541791386659327,,8.541791386659327,,0,rea50,50.0,17.729386737333428,26.00666666666666,23.45333333333333,23.45333333333333,1.1088686753837407,1.0,True,11
260209-3,PMBTA-1,GOX,8.510347507197883,,8.510347507197883,,0,rea50,50.0,21.02593210117421,26.84666666666666,23.45333333333333,23.45333333333333,1.1446844798180784,1.0,True,12
260209-3,PMBTA-10,GOX,12.47311347544286,,7.96676690714045,,0,rea50,50.0,24.73138788225571,14.979999999999997,23.45333333333333,23.45333333333333,0.6387151790790221,0.6387151790790221,True,13
260209-3,PMBTA-6,GOX,7.709950827237026,,7.709950827237026,,0,rea50,50.0,16.989517972664046,28.48,23.45333333333333,23.45333333333333,1.2143263217737352,1.0,True,14
260209-3,PMTAC,GOX,8.038680243748136,,6.607845846132314,,0,rea50,50.0,32.38682829192115,19.27878787878788,23.45333333333333,23.45333333333333,0.822006305235413,0.822006305235413,True,15
