select_method_used,count,fraction
initial_positive,42,0.3888888888888889
initial_positive_promote_long_ext,37,0.3425925925925926
initial_positive_tangent,18,0.16666666666666666
initial_positive_ext,4,0.037037037037037035
initial_positive_early_steep_ext_intskip2,1,0.009259259259259259
initial_positive_promote_long_ext_tangent_post_full_planA,1,0.009259259259259259
full_range_outlier_skip,1,0.009259259259259259
initial_positive_promote_long_ext_intskip1,1,0.009259259259259259
initial_positive_promote_long_ext_tangent,1,0.009259259259259259
initial_positive_ext_post_broad_overfit_ext,1,0.009259259259259259
initial_positive_promote_long_ext_early_steep_delayed_steep_tangent,1,0.009259259259259259
