run_id,polymer_id,reference_polymer_id,fog,fog_activity_adjusted,log_fog,fog_missing_reason,t50_min,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,activity_weight,t50_censored,use_for_bo,rank_fog
all_rounds-group_mean,PMBTA-10,GOX,1.0860068676706909,1.0860068676706909,0.08250754531374739,,14.621392376141031,,,,,1.0,0,True,1
all_rounds-group_mean,PMBTA-11,GOX,1.072025377810505,1.072025377810505,0.06954973569909643,,13.98816172418652,,,,,1.0,0,True,2
all_rounds-group_mean,PMBTA-3,GOX,1.0607387273967204,1.0607387273967204,0.05896557803154668,,12.525521951419739,,,,,1.0,0,True,3
all_rounds-group_mean,PMPC,GOX,1.0526036766848372,1.0526036766848372,0.05126678688682521,,13.50299239051545,,,,,1.0,0,True,4
all_rounds-group_mean,PMBTA-4,GOX,1.0376722961737221,1.0376722961737221,0.0369800279360306,,12.001155240395821,,,,,1.0,0,True,5
all_rounds-group_mean,GOx,GOX,1.0,1.0,0.0,,13.954725321561801,,,,,1.0,0,True,6
all_rounds-group_mean,PMBTA-5,GOX,0.9988308846184205,0.9988308846184205,-0.0011697993300956665,,11.88824020471834,,,,,1.0,0,True,7
all_rounds-group_mean,GOx with DMSO,GOX,0.9608999840489019,0.9608999840489019,-0.039884950299079604,,11.41290793194022,,,,,1.0,0,True,8
all_rounds-group_mean,PMBTA-9,GOX,0.9588918013594008,0.9588918013594008,-0.0419770349066071,,12.060523802557187,,,,,1.0,0,True,9
all_rounds-group_mean,GOx with EtOH,GOX,0.9218495737066162,0.9218495737066162,-0.08137322089832645,,11.669799761096783,,,,,1.0,0,True,10
all_rounds-group_mean,PMBTA-7,GOX,0.9052171410239954,0.9052171410239954,-0.09958042922882548,,10.817038940330772,,,,,1.0,0,True,11
all_rounds-group_mean,PMBTA-2,GOX,0.8897237070578392,0.8897237070578392,-0.11684430596093746,,10.48780748446373,,,,,1.0,0,True,12
all_rounds-group_mean,PMBTA-8,GOX,0.8755728337784852,0.8755728337784852,-0.13287693965018446,,11.121117334648911,,,,,1.0,0,True,13
all_rounds-group_mean,PMBTA-6,GOX,0.8581262381148271,0.8581262381148271,-0.15300405964686856,,10.564918547500152,,,,,1.0,0,True,14
all_rounds-group_mean,PMTAC,GOX,0.8212685293053898,0.8212685293053898,-0.1969051471177327,,9.493232395227187,,,,,1.0,0,True,15
all_rounds-group_mean,PMBTA-1,GOX,0.8099491199545574,0.8099491199545574,-0.210783848159506,,9.49607041098812,,,,,1.0,0,True,16
all_rounds-group_mean,background,GOX,0.23847893491893316,0.23847893491893316,-1.4334742957455198,,3.0221754518070276,,,,,1.0,0,True,17
