run_id,polymer_id,t50_min,t50_sem_min,t50_censored,fog,fog_sem,log_fog,fog_native_constrained,fog_native_constrained_sem,log_fog_native_constrained,fog_native_soft,fog_native_soft_sem,log_fog_native_soft,fog_activity_bonus_penalty,fog_activity_bonus_penalty_sem,log_fog_activity_bonus_penalty,fog_abs_bonus_penalty,fog_abs_bonus_penalty_sem,log_fog_abs_bonus_penalty,fog_abs_modulated,fog_abs_modulated_sem,log_fog_abs_modulated,fog_solvent_balanced,fog_solvent_balanced_sem,log_fog_solvent_balanced,stock_solvent_group,solvent_group,solvent_control_polymer_id,solvent_control_abs_activity_at_0,solvent_control_t50_min,solvent_control_fog,abs0_vs_solvent_control,fog_vs_solvent_control,abs_activity_down_penalty,abs_activity_up_bonus,abs_activity_balance_factor,solvent_activity_down_penalty,solvent_activity_up_bonus,solvent_activity_balance_factor,native_activity_soft_penalty,native_activity_rel_at_0,native_activity_rel_at_0_sem,native_activity_min_rel_threshold,native_activity_feasible,functional_activity_at_20_rel,functional_activity_at_20_rel_sem,abs_activity_at_0,abs_activity_at_0_sem,gox_abs_activity_at_0_ref,gox_abs_activity_at_0_ref_sem,abs_activity_at_20,abs_activity_at_20_sem,gox_abs_activity_at_20_ref,gox_abs_activity_at_20_ref_sem,native_0,t50_definition,source_run_ids,n_source_runs,n_t50,n_fog,n_fog_native_constrained,n_fog_native_soft,n_fog_activity_bonus_penalty,n_fog_abs_bonus_penalty,n_fog_abs_modulated,n_fog_solvent_balanced,n_functional,t50_target_rea_percent,rea_at_20_percent,use_for_bo,fog_constraint_reason,fog_missing_reason
260216-group_mean,GOx,9.060725540417737,0.2153981637539742,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,PBS,PBS,GOx,20.978730158730155,9.060725540417737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6999999999999998,1,1.0,0.0,20.978730158730155,0.11960672938966822,20.978730158730155,0.11960672938966822,3.8551611351611346,0.16133283790546155,3.8551611351611346,0.16133283790546155,1.0,rea50,260216-1|260216-2|260216-3,3,3,3,3,3,3,3,3,3,3,50.0,18.386182279637623,True,nan,
260216-group_mean,GOx with DMSO,9.011842658410039,0.0998789314587456,0,0.9953215617216511,0.01680703020241415,-0.004689416424479826,0.9953215617216511,0.01680703020241415,-0.004689416424479826,0.9953215617216511,0.01680703020241415,-0.004689416424479826,0.9953215617216511,0.01680703020241415,-0.004689416424479826,0.9953215617216511,0.01680703020241415,-0.004689416424479826,0.9953215617216511,0.01680703020241415,-0.004689416424479826,0.9953215617216511,0.01680703020241415,-0.004689416424479826,DMSO,PBS,GOx,20.978730158730155,9.060725540417737,1.0,1.0441028217603978,0.9953215617216511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0441028217603978,0.0032475822054941405,0.6999999999999998,1,1.1040212215807066,0.07601701866520885,21.9031746031746,0.05645172877809747,20.978730158730155,0.11960672938966822,4.237575757575758,0.18700286067661884,3.8551611351611346,0.16133283790546155,1.0441028217603978,rea50,260216-1|260216-2|260216-3,3,3,3,3,3,3,3,3,3,3,50.0,19.3453828815869,False,nan,
260216-group_mean,GOx with EtOH,10.719164036502798,0.4565788411302071,0,1.1848105886030404,0.06326421597638453,0.16958292096986974,1.1848105886030404,0.06326421597638453,0.16958292096986974,0.9852745071237853,0.030063548873311464,-0.014834989200863064,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,ETOH,ETOH,GOx with EtOH,19.151904761904756,10.719164036502798,1.1848105886030404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8340998486118226,0.9130219354037847,0.015665153739269074,0.6999999999999998,1,1.0302613392017317,0.08314935339740964,19.151904761904756,0.28092426547510574,20.978730158730155,0.11960672938966822,3.9468686868686853,0.16377769447632778,3.8551611351611346,0.16133283790546155,0.9130219354037847,rea50,260216-1|260216-2|260216-3,3,3,3,3,3,3,3,3,3,3,50.0,20.633832429027482,False,nan,
260216-group_mean,PMBTA-1,11.666447711192285,0.18403837060813663,0,1.2881849126143652,0.016156832607608196,0.2532341830719767,1.2881849126143652,0.016156832607608196,0.2532341830719767,1.2881849126143652,0.016156832607608196,0.2532341830719767,1.2039697991505154,0.06166336106756935,0.18562426280999605,1.2039697991505154,0.06166336106756935,0.18562426280999605,1.2039697991505154,0.06166336106756935,0.18562426280999605,1.2039697991505154,0.06166336106756935,0.18562426280999605,ETOH,ETOH,GOx with EtOH,19.151904761904756,10.719164036502798,1.1848105886030404,1.3779841176567407,1.0933002823184477,1.0,1.1015299853455078,1.1015299853455078,1.0,1.1015299853455078,1.1015299853455078,1.0,1.2572187893906193,0.0062666751336288885,0.6999999999999998,1,1.3665401799784582,0.08097766690201058,26.374920634920628,0.2040603213866526,20.978730158730155,0.11960672938966822,5.24928330928331,0.2266220336668717,3.8551611351611346,0.16133283790546155,1.2572187893906193,rea50,260216-1|260216-2|260216-3,3,3,3,3,3,3,3,3,3,3,50.0,19.915308616146827,True,nan,
260216-group_mean,PMBTA-10,15.27734007530375,0.8328977074234462,0,1.6891457862974002,0.10912742189127746,0.5242229492560827,1.6891457862974002,0.10912742189127746,0.5242229492560827,1.062304794092513,0.06682741547819646,0.06044088173021241,1.062304794092513,0.06682741547819646,0.06044088173021241,1.062304794092513,0.06682741547819646,0.06044088173021241,1.062304794092513,0.06682741547819646,0.06044088173021241,1.062304794092513,0.06682741547819646,0.06044088173021241,DMSO,PBS,GOx,20.978730158730155,9.060725540417737,1.0,0.7959705348898005,1.6891457862974002,0.6381496933175123,1.0,0.6381496933175123,0.6381496933175123,1.0,0.6381496933175123,0.6381496933175123,0.7959705348898005,0.04785708361756325,0.6999999999999998,1,1.6806889996786267,0.05211600867563188,16.693818773818773,0.9637191229848963,20.978730158730155,0.11960672938966822,6.469203019203019,0.22275358225179043,3.8551611351611346,0.16133283790546155,0.7959705348898005,rea50,260216-1|260216-2|260216-3,3,3,3,3,3,3,3,3,3,3,50.0,38.86024253855812,True,nan,
260216-group_mean,PMBTA-11,10.44633965669371,0.2808235633904507,0,1.1527582161353143,0.003565442712141532,0.1421575195009342,1.1527582161353143,0.003565442712141532,0.1421575195009342,1.1527582161353143,0.003565442712141532,0.1421575195009342,1.2715466813837135,0.0017135188978270937,0.24023401883860032,1.2715466813837135,0.0017135188978270937,0.24023401883860032,1.2715466813837135,0.0017135188978270937,0.24023401883860032,1.2715466813837135,0.0017135188978270937,0.24023401883860032,DMSO,PBS,GOx,20.978730158730155,9.060725540417737,1.0,1.398228798813771,1.1527582161353143,1.0,1.1030591132253835,1.1030591132253835,1.0,1.1030591132253835,1.1030591132253835,1.0,1.398228798813771,0.03328023730523875,0.6999999999999998,1,1.6418182007025857,0.0909912381547344,29.3395238095238,0.8389847822532929,20.978730158730155,0.11960672938966822,6.300264550264551,0.08209886015107797,3.8551611351611346,0.16133283790546155,1.398228798813771,rea50,260216-1|260216-2|260216-3,3,3,3,3,3,3,3,3,3,3,50.0,21.495453882009695,True,nan,
260216-group_mean,PMBTA-2,9.272449870249359,0.09234382872171476,0,1.0249184708394015,0.03316743210681096,0.024613068782360307,1.0249184708394015,0.03316743210681096,0.024613068782360307,1.0249184708394015,0.03316743210681096,0.024613068782360307,1.127677528483647,0.03275174143535583,0.12016023320081612,1.127677528483647,0.03275174143535583,0.12016023320081612,1.127677528483647,0.03275174143535583,0.12016023320081612,1.127677528483647,0.03275174143535583,0.12016023320081612,DMSO,PBS,GOx,20.978730158730155,9.060725540417737,1.0,1.3634965832930128,1.0249184708394015,1.0,1.1005012570710246,1.1005012570710246,1.0,1.1005012570710246,1.1005012570710246,1.0,1.3634965832930128,0.028501348706065393,0.6999999999999998,1,1.0664771882718493,0.045338236998495735,28.597777777777768,0.44185775041854347,20.978730158730155,0.11960672938966822,4.097027417027418,0.023324729066686537,3.8551611351611346,0.16133283790546155,1.3634965832930128,rea50,260216-1|260216-2|260216-3,3,3,3,3,3,3,3,3,3,3,50.0,14.332848854720643,True,nan,
260216-group_mean,PMBTA-3,11.180001072038998,0.1846730441361047,0,1.2350568590629247,0.031452348096896725,0.21111700874720937,1.2350568590629247,0.031452348096896725,0.21111700874720937,1.2350568590629247,0.031452348096896725,0.21111700874720937,1.3039728346219863,0.03249547187172486,0.26541563094236237,1.3039728346219863,0.03249547187172486,0.26541563094236237,1.3039728346219863,0.03249547187172486,0.26541563094236237,1.3039728346219863,0.03249547187172486,0.26541563094236237,DMSO,PBS,GOx,20.978730158730155,9.060725540417737,1.0,1.2095203416323692,1.2350568590629247,1.0,1.0558321195713294,1.0558321195713294,1.0,1.0558321195713294,1.0558321195713294,1.0,1.2095203416323692,0.0037047770125867656,0.6999999999999998,1,1.2221796886330614,0.044820912162183306,25.373333333333324,0.07002645002928168,20.978730158730155,0.11960672938966822,4.697619047619049,0.05494719094930851,3.8551611351611346,0.16133283790546155,1.2095203416323692,rea50,260216-1|260216-2|260216-3,3,3,3,3,3,3,3,3,3,3,50.0,18.515302199697697,True,nan,
260216-group_mean,PMBTA-4,11.967572410690723,0.2234908518757257,0,1.3232514516975826,0.053364697602522625,0.2800919288251353,1.3232514516975826,0.053364697602522625,0.2800919288251353,1.3232514516975826,0.053364697602522625,0.2800919288251353,1.4501784589331175,0.04871081716248432,0.37168662398564895,1.4501784589331175,0.04871081716248432,0.37168662398564895,1.4501784589331175,0.04871081716248432,0.37168662398564895,1.4501784589331175,0.04871081716248432,0.37168662398564895,DMSO,PBS,GOx,20.978730158730155,9.060725540417737,1.0,1.3524973009702836,1.3232514516975826,1.0,1.0965231510580347,1.0965231510580347,1.0,1.0965231510580347,1.0965231510580347,1.0,1.3524973009702836,0.03861552970581698,0.6999999999999998,1,1.8682507149969598,0.08588009855988145,28.364444444444434,0.6520916015331912,20.978730158730155,0.11960672938966822,7.174735449735448,0.040906836917197584,3.8551611351611346,0.16133283790546155,1.3524973009702836,rea50,260216-1|260216-2|260216-3,3,3,3,3,3,3,3,3,3,3,50.0,25.325234097540143,True,nan,
260216-group_mean,PMBTA-5,11.922399487036065,0.35680806770404694,0,1.318750509676657,0.066763525914397,0.27668470472683365,1.318750509676657,0.066763525914397,0.27668470472683365,1.3115220038262032,0.06009494143945227,0.2711882977869488,1.3160212098586004,0.05831076390747819,0.2746129496870795,1.3160212098586004,0.05831076390747819,0.2746129496870795,1.3160212098586004,0.05831076390747819,0.2746129496870795,1.3160212098586004,0.05831076390747819,0.2746129496870795,DMSO,PBS,GOx,20.978730158730155,9.060725540417737,1.0,1.0410056239700725,1.318750509676657,0.9949906786326764,1.003565251440018,0.9985559300726944,0.9949906786326764,1.003565251440018,0.9985559300726944,0.9949906786326764,1.0410056239700725,0.024299526466805783,0.6999999999999998,1,1.766278980962338,0.09533424006446782,21.833333333333332,0.3929565049910945,20.978730158730155,0.11960672938966822,6.778888888888889,0.08360511237247897,3.8551611351611346,0.16133283790546155,1.0410056239700725,rea50,260216-1|260216-2|260216-3,3,3,3,3,3,3,3,3,3,3,50.0,31.08283912348465,True,nan,
