run_id,polymer_id,t50_min,t50_sem_min,t50_censored,fog,fog_sem,log_fog,fog_native_constrained,fog_native_constrained_sem,log_fog_native_constrained,native_activity_rel_at_0,native_activity_rel_at_0_sem,native_activity_min_rel_threshold,native_activity_feasible,functional_activity_at_20_rel,functional_activity_at_20_rel_sem,abs_activity_at_0,abs_activity_at_0_sem,gox_abs_activity_at_0_ref,gox_abs_activity_at_0_ref_sem,abs_activity_at_20,abs_activity_at_20_sem,gox_abs_activity_at_20_ref,gox_abs_activity_at_20_ref_sem,native_0,t50_definition,source_run_ids,n_source_runs,n_t50,n_fog,n_fog_native_constrained,n_functional,t50_target_rea_percent,rea_at_20_percent,use_for_bo,fog_constraint_reason,fog_missing_reason
260211-group_mean,GOx,12.693360238367362,1.0322207553667457,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7,1,1.0,0.0,32.294999999999995,0.22166666666666401,32.294999999999995,0.22166666666666401,9.13333333333333,0.10571428571428497,9.13333333333333,0.10571428571428497,1.0,rea50,260211-1|260211-2,2,2,2,2,2,50.0,28.28003717348153,True,nan,
260211-group_mean,GOx with DMSO,12.703381539064281,0.329338839057895,0,1.0053277211610854,0.055807232077835056,0.005313579062567411,1.0053277211610854,0.055807232077835056,0.005313579062567411,0.9544268106331157,0.014498568705898884,0.7,1,0.7679785356393973,0.09382123226861,30.819999999999993,0.2566666666666659,32.294999999999995,0.22166666666666401,7.0042857142857144,0.7757142857142826,9.13333333333333,0.10571428571428497,0.9544268106331157,rea50,260211-1|260211-2,2,2,2,2,2,50.0,22.707044084060914,True,nan,
260211-group_mean,GOx with EtOH,11.669799761096783,0.5633443876490132,0,0.9218495737066162,0.030583538823985568,-0.08137322089832645,0.9218495737066162,0.030583538823985568,-0.08137322089832645,0.8899315765883775,0.013502559751960906,0.7,1,0.5361747215968393,0.07999886875467126,28.743333333333332,0.6333333333333311,32.294999999999995,0.22166666666666401,4.905519480519481,0.7873376623376629,9.13333333333333,0.10571428571428497,0.8899315765883775,rea50,260211-1|260211-2,2,2,2,2,2,50.0,17.014538701811595,True,nan,
260211-group_mean,PMBTA-1,10.891729969277463,0.9632618511006629,0,0.8575650185277828,0.0061501004016142335,-0.15365827946047253,0.8575650185277828,0.0061501004016142335,-0.15365827946047253,0.9570179382397315,0.016064580987040496,0.7,1,0.5166042651475297,0.07323183422366907,30.90333333333333,0.30666666666667014,32.294999999999995,0.22166666666666401,4.726060606060605,0.7234632034632011,9.13333333333333,0.10571428571428497,0.9570179382397315,rea50,260211-1|260211-2,2,2,2,2,2,50.0,15.3177844282168,True,nan,
260211-group_mean,PMBTA-10,16.203575540723687,3.0786925887096217,0,1.2837735093214342,0.3118903671005894,0.24980379509893563,0.9718831422208448,,-0.028519705801817462,0.7082295199156651,0.06842731569460056,0.6999999999999998,1,0.9842588735814138,0.09613986255222255,21.059040404040406,1.5812547714433454,30.04536507936508,2.2532722826688696,8.771821219715955,1.1100815102325792,8.856894179894178,0.2830967601760606,0.7082295199156651,rea50,260211-1|260211-2|260211-3,3,3,2,1,3,50.0,42.223831011249516,True,nan;native_activity_below_threshold,
260211-group_mean,PMBTA-11,15.425396051092571,0.573864959529971,0,1.2458051816687643,0.17428106970975832,0.21978205313955224,1.2458051816687643,0.17428106970975832,0.21978205313955224,1.0286206326553948,0.0995438409912954,0.6999999999999998,1,0.9716613529079597,0.08651166688588312,30.53,1.7279789093363145,30.04536507936508,2.2532722826688696,8.632460317460316,0.9623033196951583,8.856894179894178,0.2830967601760606,1.0286206326553948,rea50,260211-1|260211-2|260211-3,3,3,2,2,3,50.0,28.178304611853644,True,nan,
260211-group_mean,PMBTA-2,11.047741543464552,0.5994599671849024,0,0.8722838433583413,0.023707632561396404,-0.1366403996010707,0.8722838433583413,0.023707632561396404,-0.1366403996010707,0.9733900005550666,0.01788000568064313,0.7,1,0.5817091401766457,0.04750434296942179,31.431666666666665,0.3616666666666645,32.294999999999995,0.22166666666666401,5.317965367965368,0.4953679653679636,9.13333333333333,0.10571428571428497,0.9733900005550666,rea50,260211-1|260211-2,2,2,2,2,2,50.0,16.939509713579696,True,nan,
260211-group_mean,PMBTA-3,12.825078632835545,0.24353827866559105,0,1.0186735616424445,0.10202454256532294,0.018501351241311456,1.0186735616424445,0.10202454256532294,0.018501351241311456,0.9024517696663239,0.09918841485443446,0.7,1,0.7126760941569406,0.07678719141499407,29.16666666666666,3.403333333333332,32.294999999999995,0.22166666666666401,6.517225829725829,0.7766630591630594,9.13333333333333,0.10571428571428497,0.9024517696663239,rea50,260211-1|260211-2,2,2,2,2,2,50.0,22.338205413754586,True,nan,
260211-group_mean,PMBTA-4,12.353830263391995,0.9716743289096934,0,0.9734637797013306,0.002612010411204124,-0.026894661126736445,0.9734637797013306,0.002612010411204124,-0.026894661126736445,1.0279022126062762,0.020008824600125652,0.7,1,0.8536247551481606,0.08473211527756867,33.19166666666666,0.4183333333333365,32.294999999999995,0.22166666666666401,7.805396825396825,0.8641269841269795,9.13333333333333,0.10571428571428497,1.0279022126062762,rea50,260211-1|260211-2,2,2,2,2,2,50.0,23.552688083152162,True,nan,
260211-group_mean,PMBTA-5,12.714123166988928,1.2076570410890124,0,1.0005152096847643,0.013779209941872926,0.0005150770098229448,1.0005152096847643,0.013779209941872926,0.0005150770098229448,0.9418448410927418,0.008477337248559367,0.7,1,0.72142129612895,0.17384723288867698,30.414999999999992,0.06500000000000661,32.294999999999995,0.22166666666666401,6.607359307359305,1.6640692640692614,9.13333333333333,0.10571428571428497,0.9418448410927418,rea50,260211-1|260211-2,2,2,2,2,2,50.0,21.735807295841802,True,nan,
