run_id,polymer_id,reference_polymer_id,fog_native_soft,fog_native_soft_sem,log_fog_native_soft,native_activity_soft_penalty,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,fog,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,t50_min,use_for_bo,rank_objective_native_soft
260211-2,PMBTA-11,GOX,1.071524111959006,,0.06908203867317866,1.0,1.0284982060481807,0.7,1,1.071524111959006,33.443333333333335,32.51666666666666,32.51666666666666,1.0284982060481807,14.707290985432351,True,1
260211-2,GOx,GOX,1.0,,0.0,1.0,1.0,0.7,1,1.0,32.51666666666666,32.51666666666666,32.51666666666666,1.0,13.725580993734107,True,2
260211-2,PMBTA-4,GOX,0.9708517692901263,,-0.029581480129855692,1.0,1.0078933880061507,0.7,1,0.9708517692901263,32.773333333333326,32.51666666666666,32.51666666666666,1.0078933880061507,13.325504592301687,True,3
260211-2,PMBTA-9,GOX,0.9437164774977653,,-0.057929499581940824,0.9400351040260865,0.9695540748334187,0.7,1,1.0039162085074396,31.526666666666657,32.51666666666666,32.51666666666666,0.9695540748334187,13.77933323079132,True,4
260211-2,PMBTA-6,GOX,0.9243008269244841,,-0.07871769006235804,1.0,1.0037929267042542,0.7,1,0.9243008269244841,32.63999999999999,32.51666666666666,32.51666666666666,1.0037929267042542,12.686565862527418,True,5
260211-2,PMBTA-3,GOX,0.9166490190771217,,-0.0870306290908175,1.0,1.0016401845207585,0.7,1,0.9166490190771217,32.56999999999999,32.51666666666666,32.51666666666666,1.0016401845207585,12.581540354169954,True,6
260211-2,PMBTA-5,GOX,0.883627836781551,,-0.12371930410539447,0.8711748972323197,0.9333675038441823,0.7,1,1.0142944196266372,30.349999999999987,32.51666666666666,32.51666666666666,0.9333675038441823,13.92178020807794,True,7
260211-2,GOx with DMSO,GOX,0.8388682138137653,,-0.17570166016391392,0.8834650999723886,0.9399282419272168,0.7,1,0.9495204890832505,30.563333333333325,32.51666666666666,32.51666666666666,0.9399282419272168,13.032720378122177,True,8
260211-2,PMPC,GOX,0.8240529780670256,,-0.1935204573687591,1.0,1.0996412096360841,0.7,1,0.8240529780670256,35.75666666666666,32.51666666666666,32.51666666666666,1.0996412096360841,11.310605893586755,True,9
260211-2,PMBTA-7,GOX,0.8186557066611599,,-0.20009166610170506,0.912999350304921,0.9555099948744236,0.7,1,0.8966662532539017,31.07,32.51666666666666,32.51666666666666,0.9555099948744236,12.307265283384528,True,10
260211-2,PMBTA-8,GOX,0.8165755614037793,,-0.20263582779923092,0.9016724091865258,0.9495643259866736,0.7,1,0.9056233207140945,30.87666666666666,32.51666666666666,32.51666666666666,0.9495643259866736,12.430206238275742,True,11
260211-2,PMBTA-2,GOX,0.7747495291418224,,-0.255215490069453,0.912999350304921,0.9555099948744236,0.7,1,0.8485762107969449,31.07,32.51666666666666,32.51666666666666,0.9555099948744236,11.647201510649454,True,12
260211-2,PMBTA-1,GOX,0.7647275107651276,,-0.2682357036864008,0.8853932205251104,0.940953357252691,0.7,1,0.863715118929397,30.59666666666666,32.51666666666666,32.51666666666666,0.940953357252691,11.854991820378126,True,13
260211-2,GOx with EtOH,GOX,0.7274453115586295,,-0.3182164558774157,0.816193238705013,0.9034341363403383,0.7,1,0.8912660348826307,29.37666666666666,32.51666666666666,32.51666666666666,0.9034341363403383,12.233144148745795,True,14
260211-2,PMBTA-10,GOX,0.5266340690991371,,-0.6412493376603164,0.3300407290537999,0.5744917136511195,0.7,0,1.5956638764220237,18.680555555555564,32.51666666666666,32.51666666666666,0.5744917136511195,21.90141377460622,True,15
260211-2,PMTAC,GOX,0.30353682248277974,,-1.192252349704345,0.45498516840448483,0.6745258841619681,0.7,0,0.6671356421291814,21.933333333333326,32.51666666666666,32.51666666666666,0.6745258841619681,9.156824289850892,True,16
