run_id,polymer_id,reference_polymer_id,functional_activity_at_20_rel,functional_activity_at_20_rel_sem,abs_activity_at_20,gox_abs_activity_at_20_ref,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,use_for_bo,rank_functional
260216-group_mean,PMTAC,GOX,1.895802391762457,0.17683597091483635,7.254087024087027,3.8551611351611346,15.831414141414143,20.978730158730155,20.978730158730155,0.7546412019044922,True,1
260216-group_mean,PMBTA-4,GOX,1.8682507149969598,0.08588009855988145,7.174735449735448,3.8551611351611346,28.364444444444434,20.978730158730155,20.978730158730155,1.3520572613228816,True,2
260216-group_mean,PMBTA-5,GOX,1.766278980962338,0.09533424006446782,6.778888888888889,3.8551611351611346,21.833333333333332,20.978730158730155,20.978730158730155,1.0407366493651924,True,3
260216-group_mean,PMBTA-10,GOX,1.6806889996786267,0.05211600867563188,6.469203019203019,3.8551611351611346,16.693818773818773,20.978730158730155,20.978730158730155,0.7957497259133082,True,4
260216-group_mean,PMBTA-6,GOX,1.6611788024910161,0.00538773828242993,6.402919672919676,3.8551611351611346,28.397777777777776,20.978730158730155,20.978730158730155,1.3536461722379434,True,5
260216-group_mean,PMBTA-11,GOX,1.6418182007025857,0.0909912381547344,6.300264550264551,3.8551611351611346,29.3395238095238,20.978730158730155,20.978730158730155,1.3985366887096529,True,6
260216-group_mean,PMPC,GOX,1.5183125166035751,0.08316772367193186,5.826560846560845,3.8551611351611346,22.460952380952378,20.978730158730155,20.978730158730155,1.0706535720230619,True,7
260216-group_mean,PMBTA-1,GOX,1.3665401799784582,0.08097766690201058,5.24928330928331,3.8551611351611346,26.374920634920628,20.978730158730155,20.978730158730155,1.2572219784210763,True,8
260216-group_mean,PMBTA-3,GOX,1.2221796886330614,0.044820912162183306,4.697619047619049,3.8551611351611346,25.373333333333324,20.978730158730155,20.978730158730155,1.2094789885447088,True,9
260216-group_mean,GOx with DMSO,GOX,1.1040212215807066,0.07601701866520885,4.237575757575758,3.8551611351611346,21.9031746031746,20.978730158730155,20.978730158730155,1.0440657960443687,False,10
260216-group_mean,PMBTA-9,GOX,1.0955784731510514,0.048759198846823705,4.2081962481962485,3.8551611351611346,28.730952380952374,20.978730158730155,20.978730158730155,1.369527715146104,True,11
260216-group_mean,PMBTA-7,GOX,1.0799568828605173,0.006841374634503175,4.161702741702743,3.8551611351611346,27.448571428571423,20.978730158730155,20.978730158730155,1.3084000423709576,True,12
260216-group_mean,PMBTA-2,GOX,1.0664771882718493,0.045338236998495735,4.097027417027418,3.8551611351611346,28.597777777777768,20.978730158730155,20.978730158730155,1.3631796377283112,True,13
260216-group_mean,GOx with EtOH,GOX,1.0302613392017317,0.08314935339740964,3.9468686868686853,3.8551611351611346,19.151904761904756,20.978730158730155,20.978730158730155,0.9129201156121846,False,14
260216-group_mean,PMBTA-8,GOX,1.0024075654960873,0.04405285751833864,3.853881673881675,3.8551611351611346,27.296507936507936,20.978730158730155,20.978730158730155,1.301151582101297,True,15
260216-group_mean,GOx,GOX,1.0,0.0,3.8551611351611346,3.8551611351611346,20.978730158730155,20.978730158730155,20.978730158730155,1.0,True,16
