run_id,polymer_id,reference_polymer_id,fog_native_soft,fog_native_soft_sem,log_fog_native_soft,native_activity_soft_penalty,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,fog,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,t50_min,use_for_bo,rank_objective_native_soft
260216-group_mean,PMBTA-4,GOX,1.3232514516975826,0.053364697602522625,0.2800919288251353,1.0,1.3524973009702836,0.6999999999999998,1,1.3232514516975826,28.364444444444434,20.978730158730155,20.978730158730155,1.3520572613228816,11.967572410690723,True,1
260216-group_mean,PMBTA-6,GOX,1.3211920827366024,0.037193755207408565,0.27853442203743445,1.0,1.3541169323513318,0.6999999999999998,1,1.3211920827366024,28.397777777777776,20.978730158730155,20.978730158730155,1.3536461722379434,11.955103858880628,True,2
260216-group_mean,PMBTA-5,GOX,1.318750509676657,0.066763525914397,0.27668470472683365,1.0,1.0410056239700725,0.6999999999999998,1,1.318750509676657,21.833333333333332,20.978730158730155,20.978730158730155,1.0407366493651924,11.922399487036065,True,3
260216-group_mean,PMPC,GOX,1.303889328462733,0.04569595181283099,0.2653515890919427,1.0,1.0707816003652815,0.6999999999999998,1,1.303889328462733,22.460952380952378,20.978730158730155,20.978730158730155,1.0706535720230619,11.794556339364535,True,4
260216-group_mean,PMBTA-1,GOX,1.2881849126143652,0.016156832607608196,0.2532341830719767,1.0,1.2572187893906193,0.6999999999999998,1,1.2881849126143652,26.374920634920628,20.978730158730155,20.978730158730155,1.2572219784210763,11.666447711192285,True,5
260216-group_mean,PMBTA-3,GOX,1.2350568590629247,0.031452348096896725,0.21111700874720937,1.0,1.2095203416323692,0.6999999999999998,1,1.2350568590629247,25.373333333333324,20.978730158730155,20.978730158730155,1.2094789885447088,11.180001072038998,True,6
260216-group_mean,PMBTA-11,GOX,1.1527582161353143,0.003565442712141532,0.1421575195009342,1.0,1.398228798813771,0.6999999999999998,1,1.1527582161353143,29.3395238095238,20.978730158730155,20.978730158730155,1.3985366887096529,10.44633965669371,True,7
260216-group_mean,PMTAC,GOX,1.0857072470233566,0.09192831623409273,0.08223161521115423,0.5698546071097542,0.7548871485922609,0.6999999999999998,1,1.9052355346040908,15.831414141414143,20.978730158730155,20.978730158730155,0.7546412019044922,17.237296014206912,True,8
260216-group_mean,PMBTA-10,GOX,1.0701905627772734,0.06913976164500049,0.06783672867012194,0.6335690924127552,0.7959705348898005,0.6999999999999998,1,1.6891457862974002,16.693818773818773,20.978730158730155,20.978730158730155,0.7957497259133082,15.27734007530375,True,9
260216-group_mean,PMBTA-2,GOX,1.0249184708394015,0.03316743210681096,0.024613068782360307,1.0,1.3634965832930128,0.6999999999999998,1,1.0249184708394015,28.597777777777768,20.978730158730155,20.978730158730155,1.3631796377283112,9.272449870249359,True,10
260216-group_mean,GOx,GOX,1.0,0.0,0.0,1.0,1.0,0.6999999999999998,1,1.0,20.978730158730155,20.978730158730155,20.978730158730155,1.0,9.060725540417737,True,11
260216-group_mean,GOx with DMSO,GOX,0.9953215617216511,0.01680703020241415,-0.004689416424479826,1.0,1.0441028217603978,0.6999999999999998,1,0.9953215617216511,21.9031746031746,20.978730158730155,20.978730158730155,1.0440657960443687,9.011842658410039,False,12
260216-group_mean,GOx with EtOH,GOX,0.987668834560704,0.05273762326555902,-0.012407825113814722,0.8336090545284729,0.9130219354037847,0.6999999999999998,1,1.1848105886030404,19.151904761904756,20.978730158730155,20.978730158730155,0.9129201156121846,10.719164036502798,False,13
260216-group_mean,PMBTA-7,GOX,0.9771349103849515,0.02541201281860402,-0.02313055010090384,1.0,1.3084370875376337,0.6999999999999998,1,0.9771349103849515,27.448571428571423,20.978730158730155,20.978730158730155,1.3084000423709576,8.84260383716797,True,14
260216-group_mean,PMBTA-9,GOX,0.9512910351083553,0.01124939729972231,-0.04993523264640684,1.0,1.3693083537120858,0.6999999999999998,1,0.9512910351083553,28.730952380952374,20.978730158730155,20.978730158730155,1.369527715146104,8.614577595903535,True,15
260216-group_mean,PMBTA-8,GOX,0.9455101177667182,0.02102995612962616,-0.05603068997132063,1.0,1.3010355651032117,0.6999999999999998,1,0.9455101177667182,27.296507936507936,20.978730158730155,20.978730158730155,1.301151582101297,8.557964630273533,True,16
