run_id,polymer_id,reference_polymer_id,fog_activity_bonus_penalty,fog_abs_bonus_penalty,fog_abs_modulated,fog_solvent_balanced,fog_activity_bonus_penalty_sem,fog_abs_bonus_penalty_sem,fog_abs_modulated_sem,fog_solvent_balanced_sem,log_fog_activity_bonus_penalty,log_fog_abs_bonus_penalty,log_fog_abs_modulated,log_fog_solvent_balanced,stock_solvent_group,solvent_group,solvent_control_polymer_id,solvent_control_abs_activity_at_0,solvent_control_t50_min,abs0_vs_solvent_control,fog_vs_solvent_control,abs_activity_down_penalty,abs_activity_up_bonus,abs_activity_balance_factor,solvent_activity_down_penalty,solvent_activity_up_bonus,solvent_activity_balance_factor,fog,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,t50_min,use_for_bo,rank_objective_fog_activity_bonus_penalty,rank_objective_solvent_balanced,rank_objective_abs_bonus_penalty,rank_objective_abs_modulated
260216-group_mean,PMBTA-4,GOX,1.4501819914026894,1.4501819914026894,1.4501819914026894,1.4595076752561447,0.04871232027210957,0.04871232027210957,0.04871232027210957,0.0589697618040418,0.3716890598687969,0.3716890598687969,0.3716890598687969,0.37809917012392913,DMSO,PBS,GOx,20.978730158730155,9.060704330652046,1.3520572613228816,1.3208214255711717,1.0,1.0965231510580347,1.0965231510580347,1.0,1.105,1.105,1.3232547065797642,28.364444444444434,20.978730158730155,20.978730158730155,1.3520572613228816,11.967572410690723,True,1,1,1,1
260216-group_mean,PMBTA-6,GOX,1.4473525527040778,1.4473525527040778,1.4473525527040778,1.457987070538524,0.031862605240169706,0.031862605240169706,0.031862605240169706,0.04110053508924139,0.3697360618597111,0.3697360618597111,0.3697360618597111,0.37705676560374685,DMSO,PBS,GOx,20.978730158730155,9.060704330652046,1.3536461722379434,1.3194453127045467,1.0,1.0958998533417137,1.0958998533417137,1.0,1.105,1.105,1.321195285284462,28.397777777777776,20.978730158730155,20.978730158730155,1.3536461722379434,11.955103858880628,True,2,2,2,2
260216-group_mean,PMBTA-5,GOX,1.3160703293058,1.3160703293058,1.3160703293058,1.315880869869313,0.058318430664479406,0.058318430664479406,0.058318430664479406,0.06676928231264873,0.27465027319690005,0.27465027319690005,0.27465027319690005,0.2745063043901276,DMSO,PBS,GOx,20.978730158730155,9.060704330652046,1.0407366493651924,1.315880869869313,0.9949906786326764,1.003565251440018,0.9985559300726944,1.0,1.0,1.0,1.3187995975911007,21.833333333333332,20.978730158730155,20.978730158730155,1.0407366493651924,11.922807496247065,True,3,3,3,3
260216-group_mean,PMBTA-3,GOX,1.3039579818173679,1.3039579818173679,1.3039579818173679,1.3027553252610706,0.03248421414878438,0.03248421414878438,0.03248421414878438,0.03319719784323178,0.2654042404526109,0.2654042404526109,0.2654042404526109,0.26448150250642827,DMSO,PBS,GOx,20.978730158730155,9.060704330652046,1.2094789885447088,1.2338828870763254,1.0,1.0558321195713294,1.0558321195713294,1.0,1.055817645990648,1.055817645990648,1.2350428041162347,25.373333333333324,20.978730158730155,20.978730158730155,1.2094789885447088,11.17984801844991,True,4,4,4,4
260216-group_mean,PMBTA-11,GOX,1.2715496976800162,1.2715496976800162,1.2715496976800162,1.2739854319709218,0.0017127170777568315,0.0017127170777568315,0.0017127170777568315,0.003939256102270389,0.24023639098330357,0.24023639098330357,0.24023639098330357,0.2421501222109052,DMSO,PBS,GOx,20.978730158730155,9.060704330652046,1.3985366887096529,1.152927992733866,1.0,1.1030591132253835,1.1030591132253835,1.0,1.105,1.105,1.1527609494416085,29.3395238095238,20.978730158730155,20.978730158730155,1.3985366887096529,10.44633965669371,True,5,5,5,5
260216-group_mean,PMBTA-1,GOX,1.2039646322376252,1.2039646322376252,1.2039646322376252,1.2026468545137285,0.06166268847386345,0.06166268847386345,0.06166268847386345,0.017858253962570656,0.18561997123724985,0.18561997123724985,0.18561997123724985,0.1845248398769506,ETOH,ETOH,GOx with EtOH,19.151904761904756,10.719164036502798,1.3771434728196459,1.0883681941300711,1.0,1.1015299853455078,1.1015299853455078,1.0,1.105,1.105,1.2881826299337875,26.374920634920628,20.978730158730155,20.978730158730155,1.2572219784210763,11.666397204992554,True,6,6,6,6
260216-group_mean,PMPC,GOX,1.1513657662362318,1.1513657662362318,1.1513657662362318,1.1478381291005906,0.040915630380399214,0.040915630380399214,0.040915630380399214,0.047813447113326205,0.14094886052316216,0.14094886052316216,0.14094886052316216,0.13788028542996603,ETOH,ETOH,GOx with EtOH,19.151904761904756,10.719164036502798,1.1727790347845548,1.100544789647077,1.0,1.0431630437024986,1.0431630437024986,1.0,1.042972662174594,1.042972662174594,1.304160304135446,22.460952380952378,20.978730158730155,20.978730158730155,1.0706535720230619,11.796920129745486,True,7,7,7,7
260216-group_mean,PMBTA-2,GOX,1.1276759684003528,1.1276759684003528,1.1276759684003528,1.1308192720371324,0.032749448316919866,0.032749448316919866,0.032749448316919866,0.03664760829521422,0.12015884975179451,0.12015884975179451,0.12015884975179451,0.12294238952646447,DMSO,PBS,GOx,20.978730158730155,9.060704330652046,1.3631796377283112,1.0233658570471786,1.0,1.1005012570710246,1.1005012570710246,1.0,1.105,1.105,1.0249170344612433,28.597777777777768,20.978730158730155,20.978730158730155,1.3631796377283112,9.272415452788813,True,8,8,8,8
260216-group_mean,PMBTA-7,GOX,1.0653887075893733,1.0653887075893733,1.0653887075893733,1.0641919995905988,0.025294190659979107,0.025294190659979107,0.025294190659979107,0.027711095722619525,0.06333971622305148,0.06333971622305148,0.06333971622305148,0.062215825383219715,DMSO,PBS,GOx,20.978730158730155,9.060704330652046,1.3084000423709576,0.9759289691479889,1.0,1.0904529806381718,1.0904529806381718,1.0,1.0904400148298352,1.0904400148298352,0.9771372652416607,27.448571428571423,20.978730158730155,20.978730158730155,1.3084000423709576,8.84260383716797,True,9,9,9,9
260216-group_mean,PMBTA-10,GOX,1.0621043590815662,1.0621043590815662,1.0621043590815662,1.0675036009416403,0.06662431810680129,0.06662431810680129,0.06662431810680129,0.06922795188087917,0.060252184547052515,0.060252184547052515,0.060252184547052515,0.06532283936239142,DMSO,PBS,GOx,20.978730158730155,9.060704330652046,0.7957497259133082,1.6858399965810233,0.6381496933175123,1.0,0.6381496933175123,0.6332176262911051,1.0,0.6332176262911051,1.6888919030998109,16.693818773818773,20.978730158730155,20.978730158730155,0.7957497259133082,15.274897757808107,True,10,10,10,10
