run_id,polymer_id,t50_min,t50_sem_min,t50_censored,fog,fog_sem,log_fog,fog_native_constrained,fog_native_constrained_sem,log_fog_native_constrained,native_activity_rel_at_0,native_activity_rel_at_0_sem,native_activity_min_rel_threshold,native_activity_feasible,functional_activity_at_20_rel,functional_activity_at_20_rel_sem,abs_activity_at_0,abs_activity_at_0_sem,gox_abs_activity_at_0_ref,gox_abs_activity_at_0_ref_sem,abs_activity_at_20,abs_activity_at_20_sem,gox_abs_activity_at_20_ref,gox_abs_activity_at_20_ref_sem,native_0,t50_definition,source_run_ids,n_source_runs,n_t50,n_fog,n_fog_native_constrained,n_functional,t50_target_rea_percent,rea_at_20_percent,use_for_bo,fog_constraint_reason,fog_missing_reason
260209-group_mean,GOx,10.968636004540528,1.6888286814479336,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7,1,1.0,0.0,24.171666666666667,0.7183333333333355,24.171666666666667,0.7183333333333355,7.2685714285714305,1.1457142857142877,7.2685714285714305,1.1457142857142877,1.0,rea50,260209-1|260209-3,2,2,2,2,2,50.0,29.956221408143705,True,nan,
260209-group_mean,GOx with DMSO,10.603001708849243,1.6378002139290349,0,0.9665897315317276,0.0004919255341284123,-0.03398114291360656,0.9665897315317276,0.0004919255341284123,-0.03398114291360656,1.039944231023553,0.03552478546308701,0.7,1,0.9391721932742676,0.07669341568513438,25.111666666666665,0.11166666666666458,24.171666666666667,0.7183333333333355,6.738571428571425,0.5185714285714287,7.2685714285714305,1.1457142857142877,1.039944231023553,rea50,260209-1|260209-3,2,2,2,2,2,50.0,26.84413902471256,True,nan,
260209-group_mean,PMBTA-1,8.100410852698777,0.4099366544991061,0,0.7623332213813321,0.1547491285959215,-0.2713715204818724,0.7623332213813321,0.1547491285959215,-0.2713715204818724,1.1123181338423456,0.032366345975732846,0.7,1,0.8671833988656552,0.054732917824342746,26.863333333333326,0.01666666666666572,24.171666666666667,0.7183333333333355,6.240476190476189,0.5957142857142865,7.2685714285714305,1.1457142857142877,1.1123181338423456,rea50,260209-1|260209-3,2,2,2,2,2,50.0,23.229094168500936,True,nan,
260209-group_mean,PMBTA-10,11.046636185742866,1.426477289699993,0,1.0520758932298415,0.292037517875559,0.050765253566881274,,,,0.6048805572641661,0.03383462181485597,0.7,0,0.5462490850375163,0.058821688022057506,14.596666666666664,0.38333333333333375,24.171666666666667,0.7183333333333355,3.9030576441102767,0.19829573934837175,7.2685714285714305,1.1457142857142877,0.6048805572641661,rea50,260209-1|260209-3,2,2,2,0,2,50.0,26.793531828529296,True,native_activity_below_threshold,
260209-group_mean,PMBTA-11,12.272611311182118,1.4677846124647977,0,1.1671548148568793,0.31352204030305975,0.1545690050515275,1.1671548148568793,0.31352204030305975,0.1545690050515275,0.9760740539186736,0.13655484657683975,0.7,1,1.0534236864244266,0.1246366651076941,23.691428571428567,4.0019047619047585,24.171666666666667,0.7183333333333355,7.514087301587305,0.3009920634920631,7.2685714285714305,1.1457142857142877,0.9760740539186736,rea50,260209-1|260209-3,2,2,2,2,2,50.0,32.427126468167,True,nan,
260209-group_mean,PMBTA-2,9.92787342546291,1.3860820388035826,0,0.9071635707573371,0.013307198652203367,-0.09743250250567673,0.9071635707573371,0.013307198652203367,-0.09743250250567673,0.9769218541930469,0.13194682119069395,0.7,1,0.6245060588078919,0.12854474790600406,23.519047619047612,2.4876190476190465,24.171666666666667,0.7183333333333355,4.391991341991343,0.21883116883116924,7.2685714285714305,1.1457142857142877,0.9769218541930469,rea50,260209-1|260209-3,2,2,2,2,2,50.0,18.785940893500708,True,nan,
260209-group_mean,PMBTA-3,12.225965270003933,2.704894847519296,0,1.102803893150996,0.076805174536261,0.09785593040338073,1.102803893150996,0.076805174536261,0.09785593040338073,0.8771019935671689,0.1608457039882602,0.7,1,0.7474610195337528,0.10338528768212996,21.085476190476186,3.2578571428571457,24.171666666666667,0.7183333333333355,5.314523809523809,0.10491341991341896,7.2685714285714305,1.1457142857142877,0.8771019935671689,rea50,260209-1|260209-3,2,2,2,2,2,50.0,25.89983567878798,True,nan,
260209-group_mean,PMBTA-4,11.648480217399651,0.9815651523342739,0,1.101880812646114,0.2591437140489972,0.09701854938795107,1.101880812646114,0.2591437140489972,0.09701854938795107,0.9562281950922724,0.07350262049631721,0.7,1,0.9317111096525573,0.17242040978460793,23.16642857142856,2.4635714285714325,24.171666666666667,0.7183333333333355,6.574664224664224,0.1857753357753333,7.2685714285714305,1.1457142857142877,0.9562281950922724,rea50,260209-1|260209-3,2,2,2,2,2,50.0,28.79100327981405,True,nan,
260209-group_mean,PMBTA-5,9.703937430891173,0.46623969744835136,0,0.8994773350141745,0.0959848994715583,-0.1059414232250998,0.8994773350141745,0.0959848994715583,-0.1059414232250998,1.043431861989228,0.04383362976745231,0.7,1,0.7825403949935432,0.11020412910889048,25.189999999999998,0.31000000000000405,24.171666666666667,0.7183333333333355,5.561688311688313,0.09554112554112537,7.2685714285714305,1.1457142857142877,1.043431861989228,rea50,260209-1|260209-3,2,2,2,2,2,50.0,22.08696587862467,True,nan,
260209-group_mean,PMBTA-6,8.663526114704514,0.9535752874674873,0,0.7953138678556819,0.03551704908059799,-0.2290184399075492,0.7953138678556819,0.03551704908059799,-0.2290184399075492,1.1229947245287966,0.09133159724493867,0.7,1,0.71768211456754,0.0725722725137255,27.079047619047614,1.4009523809523845,24.171666666666667,0.7183333333333355,5.133376623376624,0.2947619047619039,7.2685714285714305,1.1457142857142877,1.1229947245287966,rea50,260209-1|260209-3,2,2,2,2,2,50.0,19.06434850963418,True,nan,
