run_id,polymer_id,polymer_label,n_points,y0_REA_percent,t50_definition,t50_target_rea_percent,t50_linear_min,t50_exp_min,rea_at_20_percent,fit_model,fit_k_per_min,fit_tau_min,fit_plateau,fit_r2,rea_connector
260211-2,GOx,GOx,7,100.0,rea50,50.0,14.284245491932932,13.725580993734107,28.41326792121256,exp,0.05050038908199043,19.801827632980007,,0.9418217239105293,exp
260211-2,GOx with EtOH,GOx with EtOH,7,100.0,rea50,50.0,13.215718225119076,12.233144148745797,19.37883970109093,exp,0.05666140872140464,17.6486963978754,,0.920541329316068,exp
260211-2,GOx with DMSO,GOx with DMSO,7,100.0,rea50,50.0,13.895730490494696,13.032720378122175,20.37922814452427,exp,0.053185149412360654,18.802241058809397,,0.9093098343389332,exp
260211-2,PMBTA-1,PMBTA-1,7,100.0,rea50,50.0,13.10129728706027,11.854991820378126,17.810841517127596,exp,0.058468802936536876,17.10313790903875,,0.9259800271802551,exp
260211-2,PMBTA-2,PMBTA-2,7,100.0,rea50,50.0,13.017769352553954,11.647201510649454,18.7104387941208,exp,0.059511907639459655,16.80335985964841,,0.9341265708279162,exp
260211-2,PMBTA-3,PMBTA-3,7,100.0,rea50,50.0,13.41541787596991,12.581540354169954,22.394500733462973,exp,0.0550923941781272,18.151325875705368,,0.933051996227608,exp
260211-2,PMBTA-4,PMBTA-4,7,100.0,rea50,50.0,14.570202450370173,13.325504592301687,26.45298151807508,exp,0.05201658036727443,19.224639392656755,,0.9539421192887213,exp
260211-2,PMBTA-5,PMBTA-5,7,100.0,rea50,50.0,15.127218338262974,13.921780208077939,27.253471405036475,exp,0.04978868867343239,20.084883266540164,,0.9393122623891271,exp
260211-2,PMPC,PMPC,7,100.0,rea50,50.0,13.120700636942672,11.310605893586755,19.33150439256529,exp,0.06128293984259214,16.317755032127096,,0.966478042904714,exp
260211-2,PMTAC,PMTAC,7,100.0,rea50,50.0,9.384232352292045,14.975181062827703,27.065700257189643,exp,0.0462863973164583,21.604619455755845,,0.8036705122889929,exp
260211-2,PMBTA-6,PMBTA-6,7,100.0,rea50,50.0,14.346096804637991,12.686565862527418,20.395658263305315,exp,0.054636312779276934,18.30284565577952,,0.9385692000671525,exp
260211-2,PMBTA-7,PMBTA-7,7,100.0,rea50,50.0,15.298043091520064,12.307265283384528,19.61903740146419,exp,0.056320162489365645,17.75563059124376,,0.9497503513471903,exp
260211-2,PMBTA-8,PMBTA-8,7,100.0,rea50,50.0,15.171506460399943,12.430206238275742,18.23888084278887,exp,0.05576312792184977,17.932996897187472,,0.9414395230609389,exp
260211-2,PMBTA-9,PMBTA-9,7,100.0,rea50,50.0,16.593442918532322,13.779333230791321,27.17024640264228,exp,0.05030339051609822,19.87937571881914,,0.9462233208088465,exp
260211-2,PMBTA-10,PMBTA-10,7,100.0,rea50,50.0,22.336353115619666,21.90141377460622,55.48932554434408,exp,0.031648513091132986,31.59706104108163,,0.8117108525967022,exp
260211-2,PMBTA-11,PMBTA-11,7,100.0,rea50,50.0,16.524229902329072,14.707290985432351,31.555865643376823,exp,0.047129493884802524,21.21813576959421,,0.9496997625199916,exp
