select_method_used,count,fraction
initial_positive_promote_long_ext,42,0.375
initial_positive,40,0.35714285714285715
initial_positive_tangent,14,0.125
initial_positive_ext,8,0.07142857142857142
initial_positive_promote_long_ext_tangent,3,0.026785714285714284
initial_positive_tangent_post_broad_overfit_ext_neighbor_recheck_right,1,0.008928571428571428
initial_positive_post_broad_overfit_ext_neighbor_recheck_right,1,0.008928571428571428
full_range_outlier_skip,1,0.008928571428571428
initial_positive_intskip1_tangent,1,0.008928571428571428
initial_positive_early_steep_ext,1,0.008928571428571428
