heat_min,total,ok,excluded,ok_rate
0.0,8,4,4,0.5
5.0,8,0,8,0.0
10.0,8,0,8,0.0
15.0,8,1,7,0.125
20.0,8,0,8,0.0
40.0,8,0,8,0.0
