run_id,polymer_id,polymer_label,n_points,y0_REA_percent,t50_linear_min,t50_exp_min,fit_model,fit_k_per_min,fit_tau_min,fit_plateau,fit_r2,rea_connector
260204-1,GOx,GOx,7,104.32786534140769,14.47610826079919,13.931762839046277,exp,0.04975301320930294,20.09928515873321,,0.9799225413275371,exp
260204-1,PMBTA-1,PMBTA-1,6,104.63726906307325,14.434546435487675,14.18705809121757,exp,0.048857710746178916,20.467598353003233,,0.9565324388526334,exp
260204-1,PMBTA-2,PMBTA-2,7,104.20236306835953,14.49239065582442,13.911504762016348,exp,0.04982546406140753,20.070058931464185,,0.9806050050509743,exp
260204-1,PMBTA-3,PMBTA-3,7,102.58368925591775,14.600394580635593,14.569316693880607,exp,0.04757581945151075,21.01908094340234,,0.9859809119079156,exp
260204-1,PMBTA-4,PMBTA-4,7,104.01491055996914,14.396860941378817,14.092329913092753,exp,0.04918613067069651,20.330934480190113,,0.9788256825501563,exp
260204-1,PMBTA-5,PMBTA-5,7,105.28992365013336,14.623231794553135,13.981429266612048,exp,0.04957627488165288,20.170938667481018,,0.9764882929298332,exp
260204-1,PMPC,PMPC,6,102.9649522740294,13.316149793874766,13.168355727148988,exp,0.052637337183327665,18.997921504219626,,0.9492330151672322,exp
260204-1,PMTAC,PMTAC,4,100.0,,,,,,,,polyline
260204-1,PMBTA-6,PMBTA-6,7,100.30777115766304,12.111486911769083,11.528857697261675,exp_plateau,0.0693087931066832,14.4281837148824,9.159410536316038,0.9952648516630577,exp
260204-1,PMBTA-7,PMBTA-7,7,101.7097765232616,13.048952808273112,12.29419199712388,exp_plateau,0.06438860293486888,15.530698825870346,8.719413447721317,0.9797783328806097,exp
260204-1,PMBTA-8,PMBTA-8,7,100.18854343992831,11.803023156165526,10.946457296119766,exp_plateau,0.07287259616862307,13.72257957828285,9.047553595008461,0.9938727018329729,exp
