heat_min,total,ok,excluded,ok_rate
0.0,16,16,0,1.0
5.0,16,16,0,1.0
10.0,16,16,0,1.0
15.0,16,15,1,0.9375
20.0,16,15,1,0.9375
40.0,16,15,1,0.9375
60.0,16,15,1,0.9375
