run_id,plate_id,time_s,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,F7,G1,G2,G3,G4,G5,G6,G7,H1,H2,H3,H4,H5,H6,H7
260209-2,plate1,6.0,412.0,664.0,669.0,723.0,655.0,363.0,322.0,672.0,714.0,737.0,741.0,605.0,330.0,315.0,694.0,714.0,730.0,667.0,584.0,290.0,263.0,947.0,725.0,703.0,702.0,551.0,263.0,227.0,772.0,725.0,731.0,713.0,569.0,276.0,251.0,1054.0,995.0,879.0,825.0,644.0,301.0,280.0,1113.0,1047.0,789.0,816.0,641.0,257.0,262.0,658.0,785.0,1190.0,797.0,609.0,331.0,306.0
260209-2,plate1,36.0,884.0,1347.0,1124.0,1122.0,930.0,393.0,330.0,1437.0,1298.0,1190.0,1095.0,835.0,354.0,326.0,1523.0,1364.0,1189.0,1003.0,802.0,313.0,270.0,1930.0,1300.0,1126.0,1048.0,743.0,277.0,230.0,1540.0,1262.0,1154.0,1037.0,764.0,292.0,254.0,1931.0,1627.0,1353.0,1193.0,878.0,316.0,288.0,1986.0,1697.0,1152.0,1156.0,857.0,274.0,267.0,1065.0,1123.0,1479.0,1076.0,780.0,340.0,309.0
260209-2,plate1,66.0,1351.0,2007.0,1552.0,1499.0,1197.0,418.0,337.0,2200.0,1895.0,1602.0,1440.0,1056.0,372.0,328.0,2338.0,1995.0,1629.0,1293.0,1017.0,326.0,270.0,2879.0,1861.0,1542.0,1395.0,930.0,291.0,237.0,2268.0,1789.0,1598.0,1364.0,965.0,302.0,262.0,2789.0,2214.0,1822.0,1542.0,1111.0,331.0,294.0,2819.0,2347.0,1528.0,1496.0,1069.0,287.0,271.0,1568.0,1581.0,1825.0,1362.0,945.0,346.0,311.0
260209-2,plate1,96.0,1793.0,2658.0,1973.0,1861.0,1465.0,442.0,341.0,2921.0,2472.0,2001.0,1777.0,1283.0,385.0,327.0,3124.0,2598.0,2045.0,1614.0,1229.0,344.0,277.0,3786.0,2384.0,1961.0,1714.0,1118.0,307.0,240.0,2942.0,2300.0,2015.0,1682.0,1164.0,318.0,264.0,3580.0,2771.0,2272.0,1902.0,1335.0,343.0,301.0,3621.0,2958.0,1870.0,1824.0,1285.0,293.0,273.0,2023.0,1995.0,2140.0,1639.0,1107.0,362.0,312.0
260209-2,plate1,126.0,2209.0,3235.0,2396.0,2219.0,1718.0,462.0,350.0,3571.0,3027.0,2377.0,2111.0,1484.0,403.0,330.0,3832.0,3159.0,2465.0,1960.0,1416.0,357.0,280.0,4581.0,2876.0,2364.0,2023.0,1306.0,320.0,237.0,3612.0,2781.0,2427.0,2000.0,1352.0,332.0,269.0,4306.0,3330.0,2709.0,2229.0,1557.0,355.0,299.0,4322.0,3525.0,2232.0,2149.0,1483.0,310.0,281.0,2262.0,2204.0,2537.0,1901.0,1263.0,368.0,317.0
260209-2,plate1,156.0,2636.0,3757.0,2805.0,2645.0,1988.0,484.0,350.0,4181.0,3518.0,2783.0,2417.0,1702.0,416.0,331.0,4514.0,3641.0,2846.0,2257.0,1615.0,368.0,286.0,5338.0,3379.0,2754.0,2338.0,1485.0,330.0,244.0,4215.0,3257.0,2813.0,2325.0,1554.0,343.0,270.0,4965.0,3834.0,3135.0,2571.0,1785.0,366.0,307.0,5003.0,4056.0,2560.0,2464.0,1697.0,324.0,281.0,2570.0,2501.0,2803.0,2170.0,1412.0,371.0,317.0
260209-2,plate1,186.0,3031.0,4262.0,3173.0,3000.0,2247.0,507.0,356.0,4742.0,3991.0,3154.0,2719.0,1928.0,431.0,336.0,5072.0,4114.0,3182.0,2530.0,1815.0,383.0,291.0,5951.0,3822.0,3129.0,2660.0,1673.0,346.0,247.0,4745.0,3687.0,3181.0,2630.0,1748.0,356.0,277.0,5581.0,4333.0,3531.0,2909.0,1993.0,378.0,311.0,5638.0,4590.0,2903.0,2778.0,1895.0,334.0,285.0,2776.0,2665.0,3217.0,2405.0,1573.0,377.0,320.0
260209-2,plate1,216.0,3412.0,4748.0,3520.0,3316.0,2477.0,528.0,361.0,5298.0,4484.0,3469.0,3000.0,2126.0,445.0,338.0,5623.0,4604.0,3511.0,2837.0,1999.0,382.0,289.0,6568.0,4248.0,3481.0,2965.0,1863.0,360.0,249.0,5290.0,4110.0,3561.0,2910.0,1954.0,373.0,278.0,6203.0,4814.0,3963.0,3222.0,2222.0,392.0,312.0,6185.0,5048.0,3211.0,3072.0,2098.0,347.0,289.0,3030.0,2918.0,3449.0,2663.0,1721.0,384.0,325.0
260209-2,plate1,246.0,3814.0,5190.0,3863.0,3618.0,2718.0,547.0,364.0,5788.0,4934.0,3821.0,3317.0,2291.0,463.0,344.0,6090.0,4996.0,3884.0,3086.0,2179.0,395.0,293.0,7044.0,4648.0,3829.0,3276.0,2038.0,373.0,253.0,5762.0,4526.0,3914.0,3235.0,2141.0,382.0,283.0,6717.0,5219.0,4335.0,3521.0,2445.0,407.0,315.0,6722.0,5489.0,3542.0,3367.0,2277.0,360.0,292.0,3332.0,3166.0,3791.0,2905.0,1887.0,393.0,327.0
260209-2,plate1,276.0,4167.0,5644.0,4183.0,3959.0,2976.0,570.0,370.0,6276.0,5317.0,4142.0,3597.0,2470.0,473.0,345.0,6557.0,5377.0,4185.0,3326.0,2299.0,403.0,297.0,7524.0,5065.0,4165.0,3578.0,2201.0,389.0,256.0,6212.0,4910.0,4262.0,3503.0,2350.0,394.0,286.0,7252.0,5625.0,4688.0,3808.0,2631.0,418.0,321.0,7167.0,5880.0,3847.0,3637.0,2491.0,370.0,295.0,3644.0,3462.0,4043.0,3164.0,2034.0,406.0,326.0
