run_id,polymer_id,heat_min,n,mean_abs_activity,std_abs_activity,sem_abs_activity,mean_REA_percent,std_REA_percent,sem_REA_percent
260204-1,GOx,0.0,1,4.99025974025974,,,100.0,,
260204-1,GOx,5.0,1,4.252207792207793,,,85.21014964216008,,
260204-1,GOx,10.0,1,3.505584415584415,,,70.24853610930384,,
260204-1,GOx,15.0,1,2.4974891774891774,,,50.04727824766862,,
260204-1,GOx,20.0,1,1.4922510822510822,,,29.903274777705487,,
260204-1,GOx,40.0,1,0.7614035087719296,,,15.257793149105682,,
260204-1,GOx,60.0,1,0.23012987012987024,,,4.6115810019518575,,
260204-1,PMBTA-1,0.0,1,4.533073593073594,,,100.0,,
260204-1,PMBTA-1,5.0,1,3.804761904761906,,,83.93338044578567,,
260204-1,PMBTA-1,10.0,1,3.4284848484848496,,,75.632675668965,,
260204-1,PMBTA-1,15.0,1,2.236883116883117,,,49.34583723284375,,
260204-1,PMBTA-1,20.0,1,1.37622549019608,,,30.35965470092771,,
260204-1,PMBTA-1,40.0,1,0.6460651629072691,,,14.252254009165839,,
260204-1,PMBTA-2,0.0,1,5.000088511240927,,,100.0,,
260204-1,PMBTA-2,5.0,1,4.256033613445378,,,85.1191654683151,,
260204-1,PMBTA-2,10.0,1,3.4861512605042013,,,69.72179097763622,,
260204-1,PMBTA-2,15.0,1,2.505553026854801,,,50.110173474368565,,
260204-1,PMBTA-2,20.0,1,1.489836302675694,,,29.79619859381139,,
260204-1,PMBTA-2,40.0,1,0.7520800141617991,,,15.04133401780816,,
260204-1,PMBTA-2,60.0,1,0.2608957337581879,,,5.217822307978275,,
260204-1,PMBTA-3,0.0,1,11.823333333333332,,,100.0,,
260204-1,PMBTA-3,5.0,1,9.836190476190469,,,83.1930403963107,,
260204-1,PMBTA-3,10.0,1,8.180952380952384,,,69.19328204921668,,
260204-1,PMBTA-3,15.0,1,5.880555555555553,,,49.73686683582368,,
260204-1,PMBTA-3,20.0,1,3.8293939393939396,,,32.38844606197299,,
260204-1,PMBTA-3,40.0,1,2.1206060606060633,,,17.935771586744263,,
260204-1,PMBTA-3,60.0,1,0.7266233766233771,,,6.145672765351371,,
260204-1,PMBTA-4,0.0,1,3.9935457516339867,,,100.0,,
260204-1,PMBTA-4,5.0,1,3.4160130718954256,,,85.53834823346497,,
260204-1,PMBTA-4,10.0,1,2.7915032679738565,,,69.9003702870236,,
260204-1,PMBTA-4,15.0,1,1.9789215686274508,,,49.5529960516356,,
260204-1,PMBTA-4,20.0,1,1.1919117647058828,,,29.845952415048803,,
260204-1,PMBTA-4,40.0,1,0.6801587301587302,,,17.031449555334092,,
260204-1,PMBTA-4,60.0,1,0.21876456876456946,,,5.477953236796158,,
260204-1,PMBTA-5,0.0,1,2.958787878787879,,,99.99999999999999,,
260204-1,PMBTA-5,5.0,1,2.5925252525252533,,,87.62119349993175,,
260204-1,PMBTA-5,10.0,1,2.08909090909091,,,70.6063088897993,,
260204-1,PMBTA-5,15.0,1,1.5143434343434345,,,51.18120988665847,,
260204-1,PMBTA-5,20.0,1,0.8866666666666663,,,29.967226546497322,,
260204-1,PMBTA-5,40.0,1,0.3993939393939387,,,13.498566161409233,,
260204-1,PMBTA-5,60.0,1,0.19999999999999737,,,6.759524784924122,,
260204-1,PMPC,0.0,1,2.0607142857142886,,,100.0,,
260204-1,PMPC,5.0,1,1.666666666666669,,,80.87810514153668,,
260204-1,PMPC,10.0,1,1.480952380952384,,,71.86597342576549,,
260204-1,PMPC,15.0,1,0.8476190476190477,,,41.13229347198146,,
260204-1,PMPC,20.0,1,0.5630952380952399,,,27.325245522819227,,
260204-1,PMPC,40.0,1,0.37023809523809537,,,17.966493356441347,,
260204-1,PMTAC,0.0,1,0.7496031746031758,,,100.0,,
260204-1,PMTAC,5.0,1,1.128571428571431,,,150.55584965590268,,
260204-1,PMTAC,10.0,1,0.6628205128205127,,,88.42285295435094,,
260204-1,PMTAC,15.0,1,0.95333333333333,,,127.17840127051285,,
260204-1,PMBTA-6,0.0,1,12.196666666666662,,,100.00000000000001,,
260204-1,PMBTA-6,5.0,1,9.015238095238088,,,73.91558973958533,,
260204-1,PMBTA-6,10.0,1,6.741666666666672,,,55.27466520907358,,
260204-1,PMBTA-6,15.0,1,5.262698412698414,,,43.14866148700533,,
260204-1,PMBTA-6,20.0,1,3.426666666666667,,,28.095107952992638,,
260204-1,PMBTA-6,40.0,1,2.1796969696969706,,,17.871251459663608,,
260204-1,PMBTA-6,60.0,1,1.1136363636363642,,,9.130661631344886,,
260204-1,PMBTA-7,0.0,1,11.659999999999997,,,99.99999999999999,,
260204-1,PMBTA-7,5.0,1,8.87523809523809,,,76.11696479621006,,
260204-1,PMBTA-7,10.0,1,7.687619047619043,,,65.93155272400553,,
260204-1,PMBTA-7,15.0,1,4.804761904761906,,,41.2072204525035,,
260204-1,PMBTA-7,20.0,1,3.2488888888888905,,,27.86354107108826,,
