run_id,polymer_id,t50_min,t50_activity_adjusted_min,t50_censored,t50_definition,t50_target_rea_percent,rea_at_20_percent,abs_activity_at_0,gox_abs_activity_at_0,abs0_vs_gox,activity_weight,use_for_bo,rank_t50
260209-1,GOx,12.657464685988462,12.657464685988462,0,rea50,50.0,33.80588876772085,24.89,24.89,1.0,1.0,True,1
260209-1,GOx with DMSO,12.240801922778278,12.240801922778278,0,rea50,50.0,29.02857142857142,25.0,24.89,1.004419445560466,1.0,True,2
260209-1,PMBTA-8,10.958491740369036,10.958491740369036,0,rea50,50.0,24.20264699500977,25.13999999999999,24.89,1.0100441944556042,1.0,True,3
260209-1,PMBTA-11,10.80482669871732,10.80482669871732,0,rea50,50.0,28.220074741499893,27.693333333333328,24.89,1.1126289004955134,1.0,True,4
260209-1,PMBTA-3,14.930860117523228,10.694322467998896,0,rea50,50.0,30.399108343977204,17.827619047619038,24.89,0.7162562895789087,0.7162562895789087,True,5
260209-1,PMBTA-4,10.666915065065378,10.666915065065378,0,rea50,50.0,24.92738544240692,25.629999999999995,24.89,1.0297308155885896,1.0,True,6
260209-1,PMBTA-9,10.322447587276969,10.322447587276969,0,rea50,50.0,26.957741918074387,26.469999999999995,24.89,1.0634793089594212,1.0,True,7
260209-1,PMBTA-5,10.170177128339525,10.166091078870522,0,rea50,50.0,22.73806043902508,24.879999999999992,24.89,0.9995982322217755,0.9995982322217755,True,8
260209-1,PMBTA-7,10.10936509695136,10.10936509695136,0,rea50,50.0,31.12931307375753,28.079999999999995,24.89,1.1281639212535153,1.0,True,9
260209-1,PMBTA-6,9.617101402172,9.617101402172,0,rea50,50.0,21.139179046604315,25.67809523809523,24.89,1.0316631272838581,1.0,True,10
260209-1,PMBTA-2,11.313955464266492,9.56000989180573,0,rea50,50.0,19.842495049667992,21.031428571428567,24.89,0.844975033002353,0.844975033002353,True,11
260209-1,PMPC,14.307803777461158,8.94261687818551,0,rea50,50.0,35.632658891711856,15.55666666666666,24.89,0.6250167403240924,0.6250167403240924,True,12
260209-1,PMBTA-1,7.690474198199671,7.690474198199671,0,rea50,50.0,25.432256235827666,26.879999999999992,24.89,1.0799517878666127,1.0,True,13
260209-1,PMBTA-10,9.620158896042874,5.493552635961805,0,rea50,50.0,28.85567577480288,14.21333333333333,24.89,0.5710459354493101,0.5710459354493101,True,14
260209-1,PMTAC,5.533261359220331,4.584452693165909,0,rea50,50.0,17.059686265399485,20.62202020202021,24.89,0.8285263239059948,0.8285263239059948,True,15
260209-1,background,7.8405344395224,0.04200098802476152,0,rea50,50.0,,0.1333333333333326,24.89,0.0053569037096557895,0.0053569037096557895,True,16
