run_id,polymer_id,heat_min,n,mean_abs_activity,std_abs_activity,sem_abs_activity,mean_REA_percent,std_REA_percent,sem_REA_percent,include_in_all_polymers,all_polymers_pair
260216-3,PMBTA-8,0.0,1,27.165714285714273,,,100.00000000000001,,,True,False
260216-3,PMBTA-8,5.0,1,21.17428571428571,,,77.94488851493482,,,True,False
260216-3,PMBTA-8,10.0,1,12.786666666666664,,,47.069134763707766,,,True,False
260216-3,PMBTA-8,15.0,1,6.965714285714282,,,25.641564997896506,,,True,False
260216-3,PMBTA-8,20.0,1,3.641861471861472,,,13.406095026835462,,,True,False
260216-3,PMBTA-8,40.0,1,0.37000000000000016,,,1.3620109381573424,,,True,False
260216-3,PMBTA-8,60.0,1,0.1488095238095252,,,0.547784321974483,,,True,False
260216-3,PMBTA-9,0.0,1,28.480952380952374,,,100.00000000000001,,,True,False
260216-3,PMBTA-9,5.0,1,21.902857142857137,,,76.90352783815416,,,True,False
260216-3,PMBTA-9,10.0,1,13.099047619047615,,,45.992308978431694,,,True,False
260216-3,PMBTA-9,15.0,1,7.296031746031749,,,25.617232346876236,,,True,False
260216-3,PMBTA-9,20.0,1,4.14917748917749,,,14.568254016506826,,,True,False
260216-3,PMBTA-9,40.0,1,0.3412121212121212,,,1.198036205560031,,,True,False
260216-3,PMBTA-9,60.0,1,0.9344155844155844,,,3.2808438844218824,,,True,False
260216-3,PMBTA-10,0.0,1,15.164688644688642,,,100.0,,,True,False
260216-3,PMBTA-10,5.0,1,15.657272727272728,,,103.2482307690281,,,True,False
260216-3,PMBTA-10,10.0,1,11.611212121212121,,,76.56742840730128,,,True,False
260216-3,PMBTA-10,15.0,1,8.101098901098899,,,53.42080599812558,,,True,False
260216-3,PMBTA-10,20.0,1,6.18124542124542,,,40.76078029739418,,,True,False
260216-3,PMBTA-10,40.0,1,1.2003896103896106,,,7.915689128309543,,,True,False
260216-3,PMBTA-10,60.0,1,0.40099567099567107,,,2.6442723645112087,,,True,False
260216-3,PMBTA-11,0.0,1,29.633333333333322,,,100.0,,,True,False
260216-3,PMBTA-11,5.0,1,24.76666666666666,,,83.57705286839146,,,True,False
260216-3,PMBTA-11,10.0,1,15.414285714285707,,,52.016712196689696,,,True,False
260216-3,PMBTA-11,15.0,1,9.878095238095234,,,33.33440462799293,,,True,False
260216-3,PMBTA-11,20.0,1,6.244444444444448,,,21.072365954255737,,,True,False
260216-3,PMBTA-11,40.0,1,1.462943722943723,,,4.93681796268973,,,True,False
