plate_id,time_s,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,F7,G1,G2,G3,G4,G5,G6,G7,H1,H2,H3,H4,H5,H6,H7
plate1,6.0,78.0,70.0,68.0,54.0,52.0,22.0,16.0,112.0,140.0,96.0,90.0,88.0,36.0,20.0,202.0,202.0,170.0,118.0,108.0,72.0,38.0,232.0,206.0,178.0,128.0,118.0,48.0,36.0,216.0,208.0,154.0,128.0,88.0,34.0,28.0,260.0,216.0,176.0,96.0,80.0,34.0,30.0,206.0,194.0,130.0,132.0,98.0,34.0,30.0,238.0,234.0,166.0,144.0,86.0,44.0,42.0
plate1,36.0,350.0,306.0,224.0,172.0,134.0,36.0,22.0,410.0,346.0,278.0,214.0,188.0,58.0,28.0,414.0,426.0,308.0,236.0,184.0,88.0,42.0,446.0,426.0,290.0,246.0,214.0,58.0,42.0,422.0,382.0,270.0,206.0,148.0,60.0,24.0,486.0,382.0,268.0,194.0,162.0,34.0,22.0,410.0,316.0,224.0,180.0,134.0,54.0,32.0,372.0,348.0,290.0,220.0,150.0,52.0,36.0
plate1,66.0,530.0,424.0,326.0,218.0,170.0,52.0,32.0,572.0,528.0,438.0,342.0,268.0,76.0,42.0,602.0,584.0,412.0,272.0,242.0,88.0,40.0,606.0,580.0,478.0,348.0,312.0,92.0,44.0,626.0,548.0,406.0,320.0,202.0,62.0,26.0,628.0,590.0,396.0,250.0,156.0,50.0,28.0,602.0,492.0,352.0,214.0,154.0,64.0,34.0,450.0,490.0,394.0,284.0,170.0,68.0,24.0
plate1,96.0,690.0,540.0,424.0,324.0,222.0,60.0,42.0,654.0,690.0,534.0,434.0,330.0,98.0,50.0,760.0,728.0,576.0,380.0,298.0,108.0,64.0,814.0,728.0,602.0,440.0,362.0,138.0,58.0,772.0,726.0,486.0,414.0,302.0,78.0,54.0,834.0,740.0,452.0,322.0,232.0,50.0,34.0,698.0,552.0,416.0,302.0,206.0,60.0,46.0,560.0,634.0,484.0,322.0,212.0,76.0,40.0
plate1,126.0,826.0,698.0,550.0,366.0,256.0,84.0,34.0,758.0,832.0,638.0,474.0,404.0,96.0,60.0,810.0,894.0,602.0,488.0,372.0,120.0,60.0,840.0,792.0,724.0,518.0,376.0,132.0,64.0,864.0,818.0,606.0,484.0,344.0,94.0,46.0,830.0,884.0,624.0,370.0,298.0,62.0,46.0,786.0,626.0,504.0,346.0,282.0,106.0,38.0,538.0,648.0,606.0,374.0,272.0,74.0,46.0
plate1,156.0,810.0,784.0,604.0,458.0,344.0,88.0,38.0,740.0,752.0,740.0,630.0,452.0,134.0,60.0,776.0,768.0,738.0,556.0,422.0,130.0,84.0,720.0,816.0,762.0,592.0,464.0,148.0,80.0,770.0,810.0,730.0,550.0,410.0,104.0,60.0,806.0,744.0,684.0,466.0,344.0,76.0,48.0,746.0,772.0,608.0,382.0,280.0,104.0,54.0,544.0,750.0,584.0,424.0,336.0,74.0,36.0
plate1,186.0,752.0,818.0,674.0,500.0,362.0,100.0,54.0,724.0,700.0,814.0,666.0,518.0,144.0,54.0,670.0,690.0,806.0,656.0,456.0,136.0,58.0,688.0,738.0,844.0,730.0,496.0,176.0,70.0,700.0,736.0,796.0,614.0,450.0,134.0,60.0,724.0,806.0,690.0,508.0,358.0,98.0,48.0,678.0,764.0,600.0,476.0,344.0,106.0,50.0,458.0,654.0,702.0,440.0,358.0,90.0,32.0
plate1,216.0,730.0,772.0,742.0,578.0,380.0,106.0,40.0,590.0,644.0,806.0,776.0,648.0,178.0,72.0,650.0,682.0,780.0,736.0,544.0,170.0,106.0,606.0,748.0,746.0,750.0,552.0,218.0,104.0,614.0,628.0,860.0,684.0,526.0,130.0,70.0,632.0,654.0,784.0,600.0,412.0,80.0,58.0,586.0,754.0,696.0,508.0,408.0,136.0,42.0,450.0,618.0,790.0,578.0,398.0,108.0,44.0
plate1,246.0,566.0,700.0,780.0,632.0,426.0,114.0,58.0,588.0,568.0,732.0,820.0,664.0,170.0,68.0,646.0,626.0,758.0,770.0,582.0,166.0,66.0,620.0,572.0,674.0,814.0,682.0,236.0,94.0,564.0,582.0,744.0,744.0,550.0,158.0,76.0,584.0,620.0,860.0,566.0,482.0,114.0,38.0,568.0,634.0,736.0,592.0,436.0,124.0,76.0,420.0,578.0,796.0,606.0,418.0,92.0,52.0
plate1,276.0,590.0,606.0,782.0,694.0,540.0,142.0,60.0,484.0,562.0,660.0,758.0,702.0,190.0,112.0,540.0,574.0,618.0,796.0,636.0,214.0,98.0,496.0,514.0,668.0,724.0,738.0,266.0,102.0,550.0,486.0,654.0,796.0,632.0,154.0,62.0,528.0,504.0,764.0,630.0,530.0,108.0,48.0,554.0,584.0,824.0,606.0,508.0,154.0,58.0,420.0,506.0,818.0,614.0,490.0,144.0,46.0
