plate_id,time_s,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,F7,G1,G2,G3,G4,G5,G6,G7,H1,H2,H3,H4,H5,H6,H7
plate1,6.0,268.0,164.0,108.0,88.0,30.0,24.0,24.0,122.0,128.0,114.0,128.0,108.0,60.0,50.0,178.0,178.0,156.0,140.0,126.0,66.0,64.0,80.0,150.0,162.0,140.0,156.0,114.0,68.0,228.0,216.0,186.0,180.0,186.0,78.0,62.0,218.0,210.0,220.0,218.0,196.0,202.0,92.0,176.0,182.0,156.0,118.0,74.0,46.0,34.0,202.0,232.0,184.0,108.0,54.0,32.0,30.0
plate1,36.0,482.0,340.0,198.0,112.0,38.0,28.0,28.0,340.0,316.0,276.0,238.0,186.0,124.0,60.0,362.0,390.0,354.0,294.0,220.0,108.0,82.0,290.0,392.0,346.0,316.0,270.0,220.0,92.0,474.0,410.0,390.0,334.0,272.0,180.0,126.0,450.0,462.0,458.0,400.0,394.0,330.0,162.0,388.0,384.0,292.0,186.0,132.0,48.0,40.0,412.0,382.0,276.0,182.0,120.0,40.0,32.0
plate1,66.0,612.0,416.0,248.0,170.0,48.0,24.0,24.0,616.0,528.0,476.0,364.0,276.0,152.0,100.0,608.0,564.0,498.0,500.0,374.0,156.0,96.0,470.0,616.0,500.0,478.0,444.0,378.0,192.0,694.0,650.0,550.0,510.0,420.0,270.0,138.0,700.0,698.0,654.0,630.0,552.0,546.0,224.0,596.0,558.0,388.0,264.0,174.0,70.0,46.0,562.0,588.0,448.0,234.0,148.0,62.0,38.0
plate1,96.0,804.0,466.0,338.0,194.0,66.0,34.0,34.0,716.0,656.0,570.0,508.0,400.0,208.0,110.0,850.0,724.0,660.0,578.0,470.0,210.0,144.0,632.0,834.0,734.0,670.0,560.0,452.0,220.0,860.0,786.0,796.0,678.0,538.0,282.0,182.0,800.0,918.0,794.0,798.0,762.0,588.0,276.0,730.0,674.0,508.0,370.0,240.0,90.0,46.0,750.0,732.0,546.0,338.0,228.0,62.0,30.0
plate1,126.0,862.0,674.0,406.0,232.0,52.0,34.0,34.0,902.0,794.0,724.0,674.0,532.0,220.0,140.0,934.0,866.0,866.0,682.0,602.0,236.0,150.0,828.0,898.0,876.0,732.0,650.0,550.0,286.0,934.0,928.0,900.0,752.0,688.0,410.0,230.0,950.0,880.0,894.0,890.0,834.0,644.0,360.0,830.0,830.0,644.0,418.0,246.0,122.0,62.0,868.0,828.0,636.0,418.0,270.0,74.0,30.0
plate1,156.0,818.0,756.0,454.0,242.0,86.0,52.0,52.0,956.0,902.0,920.0,750.0,682.0,270.0,164.0,868.0,926.0,884.0,782.0,690.0,284.0,214.0,918.0,936.0,948.0,918.0,812.0,652.0,348.0,764.0,938.0,944.0,878.0,790.0,436.0,240.0,900.0,828.0,882.0,876.0,898.0,810.0,436.0,854.0,940.0,782.0,534.0,362.0,142.0,72.0,904.0,898.0,728.0,466.0,292.0,78.0,50.0
plate1,186.0,816.0,752.0,536.0,294.0,84.0,46.0,46.0,826.0,862.0,880.0,808.0,716.0,332.0,218.0,818.0,838.0,862.0,976.0,748.0,338.0,202.0,908.0,800.0,822.0,964.0,892.0,736.0,416.0,784.0,758.0,794.0,866.0,904.0,546.0,336.0,870.0,786.0,790.0,844.0,872.0,888.0,472.0,808.0,828.0,828.0,582.0,408.0,132.0,70.0,820.0,888.0,796.0,510.0,304.0,98.0,46.0
plate1,216.0,784.0,898.0,522.0,348.0,98.0,48.0,48.0,768.0,782.0,870.0,872.0,748.0,396.0,244.0,758.0,792.0,788.0,866.0,838.0,376.0,208.0,880.0,772.0,822.0,932.0,922.0,862.0,426.0,672.0,730.0,764.0,866.0,904.0,526.0,340.0,794.0,700.0,712.0,794.0,816.0,904.0,538.0,762.0,786.0,934.0,678.0,470.0,178.0,94.0,804.0,798.0,958.0,574.0,376.0,96.0,36.0
plate1,246.0,656.0,956.0,640.0,424.0,120.0,62.0,62.0,688.0,762.0,812.0,860.0,854.0,464.0,252.0,676.0,684.0,742.0,844.0,896.0,418.0,222.0,822.0,666.0,748.0,826.0,872.0,922.0,456.0,598.0,680.0,740.0,784.0,854.0,642.0,422.0,716.0,680.0,662.0,716.0,712.0,840.0,616.0,702.0,752.0,858.0,714.0,476.0,194.0,88.0,712.0,800.0,930.0,662.0,388.0,110.0,54.0
plate1,276.0,636.0,866.0,670.0,418.0,108.0,58.0,58.0,634.0,688.0,758.0,820.0,918.0,472.0,296.0,634.0,628.0,706.0,794.0,886.0,494.0,280.0,658.0,664.0,664.0,754.0,810.0,1000.0,516.0,646.0,610.0,622.0,704.0,804.0,674.0,432.0,670.0,608.0,668.0,670.0,712.0,818.0,686.0,672.0,676.0,868.0,854.0,552.0,184.0,120.0,650.0,704.0,824.0,688.0,474.0,126.0,70.0
