run_id,polymer_id,reference_polymer_id,functional_activity_at_20_rel,functional_activity_at_20_rel_sem,abs_activity_at_20,gox_abs_activity_at_20_ref,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,use_for_bo,rank_functional
260209-group_mean,PMBTA-11,GOX,1.0534236864244266,0.1246366651076941,7.514087301587305,7.2685714285714305,23.691428571428567,24.171666666666667,24.171666666666667,0.9801321893992374,True,1
260209-group_mean,PMBTA-7,GOX,1.045449936797214,0.006608208821360706,7.591356421356421,7.2685714285714305,26.556666666666665,24.171666666666667,24.171666666666667,1.0986692408467214,True,2
260209-group_mean,GOx,GOX,1.0,0.0,7.2685714285714305,7.2685714285714305,24.171666666666667,24.171666666666667,24.171666666666667,1.0,True,3
260209-group_mean,GOx with DMSO,GOX,0.9391721932742676,0.07669341568513438,6.738571428571425,7.2685714285714305,25.111666666666665,24.171666666666667,24.171666666666667,1.0388885058263806,True,4
260209-group_mean,PMBTA-4,GOX,0.9317111096525573,0.17242040978460793,6.574664224664224,7.2685714285714305,23.16642857142856,24.171666666666667,24.171666666666667,0.9584125451876947,True,5
260209-group_mean,PMBTA-9,GOX,0.8914370526590436,0.04338951445870403,6.429761904761906,7.2685714285714305,26.06166666666666,24.171666666666667,24.171666666666667,1.0781907191615525,True,6
260209-group_mean,PMBTA-1,GOX,0.8671833988656552,0.054732917824342746,6.240476190476189,7.2685714285714305,26.863333333333326,24.171666666666667,24.171666666666667,1.1113562711163205,True,7
260209-group_mean,PMBTA-8,GOX,0.7983489835221733,0.07522813153884306,5.716666666666667,7.2685714285714305,25.328333333333326,24.171666666666667,24.171666666666667,1.0478521685168583,True,8
260209-group_mean,PMBTA-5,GOX,0.7825403949935432,0.11020412910889048,5.561688311688313,7.2685714285714305,25.189999999999998,24.171666666666667,24.171666666666667,1.0421292146452457,True,9
260209-group_mean,PMBTA-3,GOX,0.7474610195337528,0.10338528768212996,5.314523809523809,7.2685714285714305,21.085476190476186,24.171666666666667,24.171666666666667,0.8723219826439848,True,10
260209-group_mean,PMBTA-6,GOX,0.71768211456754,0.0725722725137255,5.133376623376624,7.2685714285714305,27.079047619047614,24.171666666666667,24.171666666666667,1.1202805330916754,True,11
260209-group_mean,PMPC,GOX,0.6838263138216516,0.025035519631875947,4.941756854256857,7.2685714285714305,15.55666666666666,24.171666666666667,24.171666666666667,0.6435909811763081,True,12
260209-group_mean,PMTAC,GOX,0.6495004398125765,0.2313957940339071,4.880919937559342,7.2685714285714305,19.950404040404045,24.171666666666667,24.171666666666667,0.8253631954935136,True,13
260209-group_mean,PMBTA-2,GOX,0.6245060588078919,0.12854474790600406,4.391991341991343,7.2685714285714305,23.519047619047612,24.171666666666667,24.171666666666667,0.973000659961978,True,14
260209-group_mean,PMBTA-10,GOX,0.5462490850375163,0.058821688022057506,3.9030576441102767,7.2685714285714305,14.596666666666664,24.171666666666667,24.171666666666667,0.603875060332345,True,15
