round_id,run_id,plate_id,polymer_id,t50_min,gox_t50_used_min,denominator_source,fog,log_fog
R1,260205-R1,plate1,PMBTA-1,20.787794692220842,7.052557017469086,same_plate,2.9475542899872718,1.0809757722545947
R1,260205-R1,plate1,PMBTA-2,20.138657582134467,7.052557017469086,same_plate,2.855511487854872,1.049250982177154
R1,260205-R1,plate1,PMBTA-3,35.14801390644956,7.052557017469086,same_plate,4.983726302302615,1.6061778647089178
R1,260205-R1,plate1,PMBTA-4,29.786864375078757,7.052557017469086,same_plate,4.223555272406463,1.4406772549723907
R1,260205-R1,plate1,PMBTA-5,46.62872945450922,7.052557017469086,same_plate,6.611606164829366,1.8888266144868722
R1,260205-R1,plate1,PMPC,12.153087681160812,7.052557017469086,same_plate,1.7232172176783234,0.5441930190589768
R1,260205-R1,plate1,PMTAC,11.066274226898251,7.052557017469086,same_plate,1.5691151733317779,0.4505118766220255
R2,260205-R2,plate1,PMBTA-4,20.55603368884567,10.192986165916494,same_plate,2.0166841545985155,0.7014546550387846
R2,260205-R2,plate1,PMBTA-5,13.218807887048255,10.192986165916494,same_plate,1.2968533138256935,0.25994080242776924
R2,260205-R2,plate1,PMBTA-6,16.313934174378502,10.192986165916494,same_plate,1.6005058683322217,0.4703197469828969
R2,260205-R2,plate1,PMBTA-7,12.48034345961325,10.192986165916494,same_plate,1.224405022872028,0.20245503039369842
R2,260205-R2,plate1,PMBTA-8,12.961407975633868,10.192986165916494,same_plate,1.2716006638932247,0.2402764721471902
R2,260205-R2,plate1,PMPC,10.603330746895427,10.192986165916494,same_plate,1.0402575432066268,0.03946832019480713
R2,260205-R2,plate1,PMTAC,18.12847163371116,10.192986165916494,same_plate,1.7785241085021284,0.5757838678400126
R2,260205-R2,plate2,PMBTA-1,15.638598146343883,10.192986165916494,same_round,1.5342508948591074,0.42804224554197984
R2,260205-R2,plate2,PMBTA-2,9.845675579592816,10.192986165916494,same_round,0.9659265125380998,-0.03466752164051317
R2,260205-R2,plate2,PMBTA-3,12.305342269467248,10.192986165916494,same_round,1.207236237660568,0.18833364596378918
R3,260205-R3,plate1,PMBTA-10,8.24269615293914,13.796347462853113,same_plate,0.5974549550257944,-0.5150763870965391
R3,260205-R3,plate1,PMBTA-11,22.426210943321237,13.796347462853113,same_plate,1.6255179860977096,0.48582652566382395
R3,260205-R3,plate1,PMBTA-4,23.117896279180318,13.796347462853113,same_plate,1.6756533815508508,0.5162031677539974
R3,260205-R3,plate1,PMBTA-6,28.238177729989772,13.796347462853113,same_plate,2.046786499544283,0.7162710020428777
R3,260205-R3,plate1,PMBTA-9,15.94511894302493,13.796347462853113,same_plate,1.1557493014696403,0.14474887949028964
R3,260205-R3,plate1,PMPC,14.030165589832697,13.796347462853113,same_plate,1.0169478282283875,0.016805816073447666
R3,260205-R3,plate1,PMTAC,12.478498234731303,13.796347462853113,same_plate,0.9044783967879803,-0.10039685858018801
