round_id,polymer_id,mean_fog,mean_log_fog,robust_fog,robust_log_fog,log_fog_mad,n_observations,run_ids
R1,PMBTA-1,2.9475542899872718,1.0809757722545947,2.9475542899872718,1.0809757722545947,0.0,1,260205-R1
R1,PMBTA-2,2.855511487854872,1.049250982177154,2.855511487854872,1.049250982177154,0.0,1,260205-R1
R1,PMBTA-3,4.983726302302615,1.6061778647089178,4.983726302302615,1.6061778647089178,0.0,1,260205-R1
R1,PMBTA-4,4.223555272406463,1.4406772549723907,4.223555272406463,1.4406772549723907,0.0,1,260205-R1
R1,PMBTA-5,6.611606164829366,1.8888266144868722,6.611606164829366,1.8888266144868722,0.0,1,260205-R1
R1,PMPC,1.7232172176783234,0.5441930190589768,1.7232172176783234,0.5441930190589768,0.0,1,260205-R1
R1,PMTAC,1.5691151733317779,0.4505118766220255,1.5691151733317779,0.4505118766220255,0.0,1,260205-R1
R2,PMBTA-4,2.0166841545985155,0.7014546550387846,2.0166841545985155,0.7014546550387846,0.0,1,260205-R2
R2,PMBTA-5,1.2968533138256935,0.25994080242776924,1.2968533138256935,0.25994080242776924,0.0,1,260205-R2
R2,PMBTA-6,1.6005058683322217,0.4703197469828969,1.6005058683322217,0.4703197469828969,0.0,1,260205-R2
R2,PMBTA-7,1.224405022872028,0.20245503039369842,1.224405022872028,0.20245503039369842,0.0,1,260205-R2
R2,PMBTA-8,1.2716006638932247,0.2402764721471902,1.2716006638932247,0.2402764721471902,0.0,1,260205-R2
R2,PMPC,1.0402575432066268,0.03946832019480713,1.0402575432066268,0.03946832019480713,0.0,1,260205-R2
R2,PMTAC,1.7785241085021284,0.5757838678400126,1.7785241085021284,0.5757838678400126,0.0,1,260205-R2
R2,PMBTA-1,1.5342508948591074,0.42804224554197984,1.5342508948591074,0.42804224554197984,0.0,1,260205-R2
R2,PMBTA-2,0.9659265125380998,-0.03466752164051317,0.9659265125380998,-0.03466752164051317,0.0,1,260205-R2
R2,PMBTA-3,1.207236237660568,0.18833364596378918,1.207236237660568,0.18833364596378918,0.0,1,260205-R2
R3,PMBTA-10,0.5974549550257944,-0.5150763870965391,0.5974549550257944,-0.5150763870965391,0.0,1,260205-R3
R3,PMBTA-11,1.6255179860977096,0.48582652566382395,1.6255179860977096,0.48582652566382395,0.0,1,260205-R3
R3,PMBTA-4,1.6756533815508508,0.5162031677539974,1.6756533815508508,0.5162031677539974,0.0,1,260205-R3
R3,PMBTA-6,2.046786499544283,0.7162710020428777,2.046786499544283,0.7162710020428777,0.0,1,260205-R3
R3,PMBTA-9,1.1557493014696403,0.14474887949028964,1.1557493014696403,0.14474887949028964,0.0,1,260205-R3
R3,PMPC,1.0169478282283875,0.016805816073447666,1.0169478282283875,0.016805816073447666,0.0,1,260205-R3
R3,PMTAC,0.9044783967879803,-0.10039685858018801,0.9044783967879803,-0.10039685858018801,0.0,1,260205-R3
