run_id,polymer_id,reference_polymer_id,functional_activity_at_20_rel,functional_activity_at_20_rel_sem,abs_activity_at_20,gox_abs_activity_at_20_ref,functional_reference_source,functional_reference_round_id,functional_reference_run_id,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,use_for_bo,rank_functional
260209-3,PMBTA-11,GOX,1.1780603515321209,,7.213095238095242,6.122857142857143,same_run_gox,,260209-3,19.68952380952381,23.45333333333333,23.45333333333333,0.8395192073418339,True,1
260209-3,PMBTA-4,GOX,1.1041315194371653,,6.760439560439558,6.122857142857143,same_run_gox,,260209-3,20.70285714285713,23.45333333333333,23.45333333333333,0.8827255745959551,True,2
260209-3,PMBTA-7,GOX,1.0520581456185747,,6.441601731601731,6.122857142857143,same_run_gox,,260209-3,25.03333333333333,23.45333333333333,23.45333333333333,1.0673678226264924,True,3
260209-3,GOx with DMSO,GOX,1.015865608959402,,6.219999999999996,6.122857142857143,same_run_gox,,260209-3,25.22333333333333,23.45333333333333,23.45333333333333,1.07546901648664,True,4
260209-3,GOx,GOX,1.0,,6.122857142857143,6.122857142857143,same_run_gox,,260209-3,23.45333333333333,23.45333333333333,23.45333333333333,1.0,True,5
260209-3,PMBTA-9,GOX,0.9348265671177476,,5.723809523809524,6.122857142857143,same_run_gox,,260209-3,25.653333333333325,23.45333333333333,23.45333333333333,1.0938032973280272,True,6
260209-3,PMBTA-1,GOX,0.921916316689998,,5.644761904761902,6.122857142857143,same_run_gox,,260209-3,26.84666666666666,23.45333333333333,23.45333333333333,1.1446844798180784,True,7
260209-3,PMBTA-5,GOX,0.8927445241024337,,5.466147186147187,6.122857142857143,same_run_gox,,260209-3,25.5,23.45333333333333,23.45333333333333,1.0872654917566802,True,8
260209-3,PMTAC,GOX,0.8808962338464836,,6.243787927066736,6.122857142857143,same_run_gox,,260209-3,19.27878787878788,23.45333333333333,23.45333333333333,0.822006305235413,True,9
260209-3,PMBTA-8,GOX,0.8735771150610164,,5.34878787878788,6.122857142857143,same_run_gox,,260209-3,25.51666666666666,23.45333333333333,23.45333333333333,1.0879761227970437,True,10
260209-3,PMBTA-3,GOX,0.8508463072158827,,5.209610389610391,6.122857142857143,same_run_gox,,260209-3,24.34333333333333,23.45333333333333,23.45333333333333,1.0379476975554291,True,11
260209-3,PMBTA-6,GOX,0.7902543870812656,,4.83861471861472,6.122857142857143,same_run_gox,,260209-3,28.48,23.45333333333333,23.45333333333333,1.2143263217737352,True,12
260209-3,PMBTA-2,GOX,0.753050806713896,,4.610822510822512,6.122857142857143,same_run_gox,,260209-3,26.00666666666666,23.45333333333333,23.45333333333333,1.1088686753837407,True,13
260209-3,PMPC,GOX,0.7088618334535276,,4.340259740259742,6.122857142857143,same_run_gox,,260209-3,15.55666666666666,23.45333333333333,23.45333333333333,0.6633030130756109,True,14
260209-3,PMBTA-10,GOX,0.6050707730595738,,3.704761904761905,6.122857142857143,same_run_gox,,260209-3,14.979999999999997,23.45333333333333,23.45333333333333,0.6387151790790221,True,15
