select_method_used,count,fraction
initial_positive_ext_tangent,24,0.3157894736842105
initial_positive_tangent,13,0.17105263157894737
initial_positive,9,0.11842105263157894
initial_positive_ext,8,0.10526315789473684
initial_positive_ext_intskip1_tangent,6,0.07894736842105263
full_range_outlier_skip,3,0.039473684210526314
initial_positive_ext_intskip1,2,0.02631578947368421
initial_positive_post_long_ext,2,0.02631578947368421
initial_positive_intskip1_tangent,1,0.013157894736842105
initial_positive_ext_skip1_tangent,1,0.013157894736842105
initial_positive_ext_skip1_tangent_post_full_ext,1,0.013157894736842105
initial_positive_intskip1,1,0.013157894736842105
last_resort_post_full_ext,1,0.013157894736842105
initial_positive_post_full_ext,1,0.013157894736842105
initial_positive_intskip2_tangent_post_long_ext,1,0.013157894736842105
last_resort_post_long_ext,1,0.013157894736842105
initial_positive_ext_post_early_ext,1,0.013157894736842105
