heat_min,total,ok,excluded,ok_rate
0.0,11,11,0,1.0
5.0,11,11,0,1.0
10.0,11,11,0,1.0
15.0,11,11,0,1.0
20.0,11,11,0,1.0
40.0,11,11,0,1.0
60.0,11,10,1,0.9090909090909091
