heat_min,total,ok,excluded,ok_rate
0.0,14,14,0,1.0
5.0,14,14,0,1.0
10.0,14,14,0,1.0
15.0,14,14,0,1.0
20.0,14,13,1,0.9285714285714286
40.0,14,13,1,0.9285714285714286
60.0,14,11,3,0.7857142857142857
