run_id,polymer_id,family,abs0,rea20,fog,native_rel,rank_abs_desc,rank_rea20_desc,rank_fog_desc,delta_abs_to_fog,delta_abs_to_rea20,spearman_abs_vs_fog_run,spearman_abs_vs_rea20_run
260209-1,PMBTA-1,pmbta,26.879999999999992,25.432256235827666,0.6075840927854106,1.0799517878666127,3.0,7.0,12.0,-9.0,-4.0,-0.2692307692307692,0.005494505494505494
260209-1,PMBTA-10,pmbta,14.21333333333333,28.85567577480288,0.7600383753542825,0.5710459354493101,13.0,4.0,10.0,3.0,9.0,-0.2692307692307692,0.005494505494505494
260209-1,PMBTA-11,pmbta,27.693333333333328,28.220074741499893,0.8536327745538196,1.1126289004955134,2.0,5.0,5.0,-3.0,-3.0,-0.2692307692307692,0.005494505494505494
260209-1,PMBTA-2,pmbta,21.031428571428567,19.842495049667992,0.8938563721051337,0.844975033002353,9.0,12.0,3.0,6.0,-3.0,-0.2692307692307692,0.005494505494505494
260209-1,PMBTA-3,pmbta,17.827619047619038,30.399108343977204,1.179609067687257,0.7162562895789087,11.0,3.0,1.0,10.0,8.0,-0.2692307692307692,0.005494505494505494
260209-1,PMBTA-4,pmbta,25.629999999999995,24.92738544240692,0.8427370985971165,1.0297308155885896,6.0,8.0,6.0,0.0,-2.0,-0.2692307692307692,0.005494505494505494
260209-1,PMBTA-5,pmbta,24.879999999999992,22.73806043902508,0.8034924355426162,0.9995982322217756,8.0,10.0,8.0,0.0,-2.0,-0.2692307692307692,0.005494505494505494
260209-1,PMBTA-6,pmbta,25.67809523809523,21.139179046604315,0.759796818775084,1.031663127283858,5.0,11.0,11.0,-6.0,-6.0,-0.2692307692307692,0.005494505494505494
260209-1,PMBTA-7,pmbta,28.079999999999995,31.12931307375753,0.7986879954041829,1.1281639212535153,1.0,2.0,9.0,-8.0,-1.0,-0.2692307692307692,0.005494505494505494
260209-1,PMBTA-8,pmbta,25.13999999999999,24.20264699500977,0.8657730447788528,1.0100441944556042,7.0,9.0,4.0,3.0,-2.0,-0.2692307692307692,0.005494505494505494
260209-1,PMBTA-9,pmbta,26.469999999999995,26.957741918074387,0.8155225270905708,1.0634793089594212,4.0,6.0,7.0,-3.0,-2.0,-0.2692307692307692,0.005494505494505494
260209-1,PMPC,homopolymer_pmpc,15.55666666666666,35.632658891711856,1.130384649091661,0.6250167403240924,12.0,1.0,2.0,10.0,11.0,-0.2692307692307692,0.005494505494505494
260209-1,PMTAC,homopolymer_pmtac,20.62202020202021,17.059686265399485,0.4371540033088563,0.8285263239059948,10.0,13.0,13.0,-3.0,-3.0,-0.2692307692307692,0.005494505494505494
260209-2,PMBTA-1,pmbta,27.01666666666666,25.41288446285361,0.4753268504358826,1.825802922057025,5.0,7.0,6.0,-1.0,-2.0,-0.7197802197802198,-0.42857142857142855
260209-2,PMBTA-10,pmbta,11.856709956709958,49.18622580092511,0.758335533250903,0.8012837391095745,13.0,1.0,1.0,12.0,12.0,-0.7197802197802198,-0.42857142857142855
260209-2,PMBTA-11,pmbta,26.746666666666663,30.349427906755945,0.5342068960012376,1.8075561562721247,6.0,3.0,3.0,3.0,3.0,-0.7197802197802198,-0.42857142857142855
260209-2,PMBTA-2,pmbta,31.553333333333324,18.078920867849675,0.3584186642373007,2.132393640986033,1.0,13.0,13.0,-12.0,-12.0,-0.7197802197802198,-0.42857142857142855
260209-2,PMBTA-3,pmbta,22.95714285714285,28.429786351379395,0.5282890772866455,1.5514578103881056,10.0,4.0,4.0,6.0,6.0,-0.7197802197802198,-0.42857142857142855
260209-2,PMBTA-4,pmbta,28.12,26.572625256835785,0.4638381210383861,1.9003668661903848,2.0,5.0,8.0,-6.0,-3.0,-0.7197802197802198,-0.42857142857142855
260209-2,PMBTA-5,pmbta,27.85666666666666,24.88788982147845,0.4398335031494099,1.8825706378322715,4.0,8.0,10.0,-6.0,-4.0,-0.7197802197802198,-0.42857142857142855
260209-2,PMBTA-6,pmbta,25.43809523809523,21.106837752288904,0.4473239094650628,1.7191220956426594,9.0,12.0,9.0,0.0,-3.0,-0.7197802197802198,-0.42857142857142855
260209-2,PMBTA-7,pmbta,27.876666666666654,21.209688314794143,0.3948774154628798,1.8839222501126336,3.0,10.0,12.0,-9.0,-7.0,-0.7197802197802198,-0.42857142857142855
260209-2,PMBTA-8,pmbta,26.106666666666666,21.148004191926564,0.4026733707979368,1.7643045633005088,8.0,11.0,11.0,-3.0,-3.0,-0.7197802197802198,-0.42857142857142855
260209-2,PMBTA-9,pmbta,26.27666666666666,25.895084660783013,0.4707187983223292,1.775793267683594,7.0,6.0,7.0,0.0,1.0,-0.7197802197802198,-0.42857142857142855
260209-2,PMPC,homopolymer_pmpc,15.326666666666664,32.67428526236706,0.6643466644842128,1.0357855441848491,11.0,2.0,2.0,9.0,9.0,-0.7197802197802198,-0.42857142857142855
260209-2,PMTAC,homopolymer_pmtac,15.249880952380948,21.51716463615855,0.5122859627770527,1.0305963184655982,12.0,9.0,5.0,7.0,3.0,-0.7197802197802198,-0.42857142857142855
260209-3,PMBTA-1,pmbta,26.84666666666666,21.02593210117421,0.9170823499772536,1.1446844798180784,2.0,10.0,11.0,-9.0,-8.0,-0.6538461538461539,-0.7857142857142857
260209-3,PMBTA-10,pmbta,14.979999999999997,24.73138788225571,1.3441134111054005,0.6387151790790221,13.0,6.0,4.0,9.0,7.0,-0.6538461538461539,-0.7857142857142857
260209-3,PMBTA-11,pmbta,19.68952380952381,36.63417819483412,1.4806768551599392,0.8395192073418339,10.0,1.0,1.0,9.0,9.0,-0.6538461538461539,-0.7857142857142857
