run_id,polymer_id,pid_norm,family,is_screen_candidate,use_for_bo,abs0,abs0_summary,abs0_rate_median,abs0_rate_mean,rea20,rea_auc_0_60,t50_min,fog,fit_r2,fit_model,t50_exp_min,t50_linear_min,fit_r2_h0_median,fit_tstart_h0_median,fit_start_idx_h0_median,fit_n_h0_median,n_summary_rows,n_rate_rows_h0,ref_abs0,ref_t50,has_ref_abs0,has_ref_t50,native_rel
260209-1,background,BACKGROUND,background,0,1,0.1333333333333326,0.1333333333333326,0.1333333333333326,0.1333333333333326,39.99999999999937,825.0000000000018,,,,,,,0.7499999999999964,6.0,0.0,3.0,4,1,24.889999999999997,12.657464685988462,1,1,0.00535690370965579
260209-1,GOx,GOX,reference,0,1,24.889999999999997,24.889999999999997,24.889999999999997,24.889999999999997,33.80588876772085,1655.3871667371068,12.657464685988462,1.0,0.9860315924275328,exp,12.657464685988462,14.456521739130434,0.9979808800585728,6.0,0.0,4.0,7,1,24.889999999999997,12.657464685988462,1,1,1.0
260209-1,GOx with DMSO,GOX WITH DMSO,solvent_control,0,1,24.999999999999996,24.999999999999996,24.999999999999996,24.999999999999996,29.02857142857142,1607.121212121212,12.240801922778278,0.967081657065856,0.9710140286096264,exp,12.240801922778278,12.791625124626115,0.999678325729854,6.0,0.0,4.0,7,1,24.889999999999997,12.657464685988462,1,1,1.004419445560466
260209-1,PMBTA-1,PMBTA-1,pmbta,1,1,26.879999999999992,26.879999999999992,26.879999999999992,26.879999999999992,25.432256235827666,1208.6400866436318,7.690474198199671,0.6075840927854106,0.942680666279798,exp,7.690474198199671,5.013039355144615,0.9988365663223552,6.0,0.0,4.0,7,1,24.889999999999997,12.657464685988462,1,1,1.0799517878666127
260209-1,PMBTA-10,PMBTA-10,pmbta,1,1,14.21333333333333,14.21333333333333,14.21333333333333,14.21333333333333,28.85567577480288,1469.711398886519,9.620158896042874,0.7600383753542825,0.991889982325282,exp,9.620158896042874,8.893105980593552,0.9995874474963165,6.0,0.0,4.0,7,1,24.889999999999997,12.657464685988462,1,1,0.5710459354493101
260209-1,PMBTA-11,PMBTA-11,pmbta,1,1,27.693333333333328,27.693333333333328,27.693333333333328,27.693333333333328,28.220074741499893,1489.0856515495418,10.80482669871732,0.8536327745538196,0.9887067080875704,exp,10.80482669871732,9.85713462757071,0.99948542103495,6.0,0.0,4.0,7,1,24.889999999999997,12.657464685988462,1,1,1.1126289004955134
260209-1,PMBTA-2,PMBTA-2,pmbta,1,1,21.031428571428567,21.031428571428567,21.031428571428567,21.031428571428567,19.842495049667992,1483.71467699684,11.313955464266492,0.8938563721051337,0.9517707862325632,exp,11.313955464266492,12.242817264734654,0.999330493902998,6.0,0.0,6.0,7,1,24.889999999999997,12.657464685988462,1,1,0.844975033002353
260209-1,PMBTA-3,PMBTA-3,pmbta,1,1,17.827619047619038,17.827619047619038,17.827619047619038,17.827619047619038,30.399108343977204,1847.5048443730002,14.930860117523228,1.179609067687257,0.9040977670851936,exp,14.930860117523228,15.965896028866432,0.9993190807519804,6.0,0.0,6.0,7,1,24.889999999999997,12.657464685988462,1,1,0.7162562895789087
260209-1,PMBTA-4,PMBTA-4,pmbta,1,1,25.629999999999995,25.629999999999995,25.629999999999995,25.629999999999995,24.92738544240692,1457.317869627663,10.666915065065378,0.8427370985971165,0.988559827828606,exp,10.666915065065378,11.110643786451316,0.998866422083667,6.0,0.0,4.0,7,1,24.889999999999997,12.657464685988462,1,1,1.0297308155885896
260209-1,PMBTA-5,PMBTA-5,pmbta,1,1,24.879999999999992,24.879999999999992,24.879999999999992,24.879999999999992,22.73806043902508,1397.1214789140838,10.170177128339525,0.8034924355426162,0.9840120149348748,exp,10.170177128339525,11.599318066626733,0.9991322762254016,6.0,0.0,4.0,7,1,24.889999999999997,12.657464685988462,1,1,0.9995982322217756
260209-1,PMBTA-6,PMBTA-6,pmbta,1,1,25.67809523809523,25.67809523809523,25.67809523809523,25.67809523809523,21.139179046604315,1338.8092234365647,9.617101402172,0.759796818775084,0.9937329512672304,exp,9.617101402172,10.278497738476393,0.9988496683588476,6.0,0.0,6.0,7,1,24.889999999999997,12.657464685988462,1,1,1.031663127283858
260209-1,PMBTA-7,PMBTA-7,pmbta,1,1,28.079999999999995,28.079999999999995,28.079999999999995,28.079999999999995,31.12931307375753,1423.7546147268367,10.10936509695136,0.7986879954041829,0.9464708793424316,exp,10.10936509695136,11.44147682639434,0.9999697883152928,6.0,0.0,4.0,7,1,24.889999999999997,12.657464685988462,1,1,1.1281639212535153
260209-1,PMBTA-8,PMBTA-8,pmbta,1,1,25.13999999999999,25.13999999999999,25.13999999999999,25.13999999999999,24.20264699500977,1470.120141062862,10.958491740369036,0.8657730447788528,0.9847375757011346,exp,10.958491740369036,11.678752302025783,0.9999824903011036,6.0,0.0,4.0,7,1,24.889999999999997,12.657464685988462,1,1,1.0100441944556042
260209-1,PMBTA-9,PMBTA-9,pmbta,1,1,26.469999999999995,26.469999999999995,26.469999999999995,26.469999999999995,26.957741918074387,1428.723524303426,10.322447587276969,0.8155225270905708,0.9954457385295586,exp,10.322447587276969,10.9761780104712,0.9988561371589976,6.0,0.0,4.0,7,1,24.889999999999997,12.657464685988462,1,1,1.0634793089594212
260209-1,PMPC,PMPC,homopolymer_pmpc,1,1,15.55666666666666,15.55666666666666,15.55666666666666,15.55666666666666,35.632658891711856,1783.0855541858336,14.307803777461158,1.130384649091661,0.9642120275954504,exp,14.307803777461158,15.34902365860031,0.999074998893402,6.0,0.0,4.0,7,1,24.889999999999997,12.657464685988462,1,1,0.6250167403240924
