policy_id,policy_display,run_id,top_polymer_id,top_family,top_score,top_fog,top_native_rel,theta,alpha,min_fit_r2,min_rea20
fog_raw,FoG raw,260209-1,PMBTA-3,pmbta,1.179609067687257,1.179609067687257,0.7162562895789087,,,,
fog_raw,FoG raw,260209-2,PMBTA-10,pmbta,0.758335533250903,0.758335533250903,0.8012837391095745,,,,
fog_raw,FoG raw,260209-3,PMBTA-11,pmbta,1.4806768551599392,1.4806768551599392,0.8395192073418339,,,,
fog_raw,FoG raw,260211-1,PMTAC,homopolymer_pmtac,1.623511957374557,1.623511957374557,0.414565376423618,,,,
fog_raw,FoG raw,260211-2,PMBTA-10,pmbta,1.5957776384085527,1.5957776384085527,0.5744917136511195,,,,
fog_raw,FoG raw,260216-1,PMTAC,homopolymer_pmtac,2.1969550146665897,2.1969550146665897,0.7016027655562542,,,,
fog_raw,FoG raw,260216-2,PMTAC,homopolymer_pmtac,1.7046716132319224,1.7046716132319224,0.7581814855165875,,,,
fog_raw,FoG raw,260216-3,PMBTA-10,pmbta,1.8926232232929203,1.8926232232929203,0.7255170673405511,,,,
fog_adj_clip,"FoG * clip(native,0,1)",260209-1,PMBTA-8,pmbta,0.8657730447788528,0.8657730447788528,1.0100441944556042,,,,
fog_adj_clip,"FoG * clip(native,0,1)",260209-2,PMPC,homopolymer_pmpc,0.6643466644842128,0.6643466644842128,1.0357855441848491,,,,
fog_adj_clip,"FoG * clip(native,0,1)",260209-3,PMBTA-11,pmbta,1.2430566597732715,1.4806768551599392,0.8395192073418339,,,,
fog_adj_clip,"FoG * clip(native,0,1)",260211-1,PMBTA-11,pmbta,1.2159728357002335,1.4200862513785226,0.8562668883807939,,,,
fog_adj_clip,"FoG * clip(native,0,1)",260211-2,PMBTA-11,pmbta,1.071524111959006,1.071524111959006,1.0284982060481809,,,,
fog_adj_clip,"FoG * clip(native,0,1)",260216-1,PMTAC,homopolymer_pmtac,1.5413897140927604,2.1969550146665897,0.7016027655562542,,,,
fog_adj_clip,"FoG * clip(native,0,1)",260216-2,PMBTA-10,pmbta,1.3471687056538422,1.5182693148548712,0.8873054947979475,,,,
