bonus_deadband,bonus_coef,bonus_median,bonus_q90,bonus_cap_reached_fraction,dynamic_range_max_over_min,spearman_vs_beta0.35_dead0.05_run1,spearman_vs_beta0.35_dead0.05_run2,spearman_vs_beta0.35_dead0.05_run3
0.0,0.0,1.0,1.0,0.48717948717948717,1.5716555639401733,0.8791208791208791,0.9065934065934067,0.9340659340659341
0.0,0.1,1.029967649337039,1.03,0.48717948717948717,1.566285362045413,0.9505494505494506,0.9230769230769231,0.967032967032967
0.0,0.2,1.0599352986740784,1.06,0.48717948717948717,1.565396316684254,0.967032967032967,0.9505494505494506,0.9835164835164836
0.0,0.3,1.0899029480111175,1.09,0.48717948717948717,1.5645537298217373,0.9835164835164836,0.9945054945054945,0.9945054945054945
0.0,0.35,1.1048867726796372,1.105,0.48717948717948717,1.564148734988684,0.9945054945054945,0.989010989010989,0.9945054945054945
0.0,0.5,1.149838246685196,1.15,0.48717948717948717,1.622412395200018,0.9780219780219779,0.967032967032967,0.9835164835164836
0.0,0.8,1.2397411946963135,1.24,0.48717948717948717,1.740961675991905,0.9175824175824175,0.9505494505494506,0.945054945054945
0.03,0.0,1.0,1.0,0.358974358974359,1.5716555639401733,0.8791208791208791,0.9065934065934067,0.9340659340659341
0.03,0.1,1.0269676493370392,1.03,0.358974358974359,1.566282613360423,0.9505494505494506,0.9230769230769231,0.967032967032967
0.03,0.2,1.0539352986740784,1.06,0.358974358974359,1.5653858750816851,0.9560439560439561,0.967032967032967,0.989010989010989
0.03,0.3,1.0809029480111176,1.09,0.358974358974359,1.564531389085334,0.989010989010989,0.9945054945054945,1.0
0.03,0.35,1.0943867726796372,1.105,0.358974358974359,1.564119068355118,0.9945054945054945,0.989010989010989,1.0
0.03,0.5,1.134838246685196,1.15,0.358974358974359,1.601039941291815,0.9725274725274725,0.9835164835164836,0.989010989010989
0.03,0.8,1.2157411946963135,1.24,0.358974358974359,1.70676574973878,0.9230769230769231,0.945054945054945,0.9505494505494506
0.05,0.0,1.0,1.0,0.3076923076923077,1.5716555639401733,0.8791208791208791,0.9065934065934067,0.9340659340659341
0.05,0.1,1.0249676493370392,1.03,0.3076923076923077,1.5662807719505427,0.9505494505494506,0.9230769230769231,0.9725274725274725
0.05,0.2,1.0499352986740784,1.06,0.3076923076923077,1.5653788475084731,0.9615384615384615,0.967032967032967,0.9945054945054945
0.05,0.3,1.0749029480111176,1.09,0.3076923076923077,1.564516286479222,0.9945054945054945,0.9945054945054945,1.0
0.05,0.35,1.0873867726796371,1.105,0.3076923076923077,1.5640989706381463,1.0,1.0,1.0
0.05,0.5,1.1248382466851958,1.15,0.3076923076923077,1.586791638686346,0.9780219780219779,0.9835164835164836,0.9835164835164836
0.05,0.8,1.1997411946963135,1.24,0.3076923076923077,1.68396846557003,0.9120879120879121,0.945054945054945,0.945054945054945
0.08,0.0,1.0,1.0,0.23076923076923078,1.5716555639401733,0.8791208791208791,0.9065934065934067,0.9340659340659341
0.08,0.1,1.021967649337039,1.03,0.23076923076923078,1.5662779963005957,0.9560439560439561,0.9065934065934067,0.9725274725274725
0.08,0.2,1.0439352986740784,1.06,0.23076923076923078,1.5653682048577118,0.9615384615384615,0.967032967032967,0.9945054945054945
0.08,0.3,1.0659029480111175,1.09,0.23076923076923078,1.564493312313612,0.967032967032967,0.9945054945054945,1.0
0.08,0.35,1.0768867726796372,1.105,0.23076923076923078,1.5640683315759565,0.9945054945054945,1.0,1.0
0.08,0.5,1.109838246685196,1.15,0.23076923076923078,1.565419184778143,0.945054945054945,0.9780219780219779,0.9835164835164836
0.08,0.8,1.1757411946963134,1.24,0.23076923076923078,1.6572363501539846,0.8901098901098902,0.945054945054945,0.9175824175824175
0.1,0.0,1.0,1.0,0.1794871794871795,1.5716555639401733,0.8791208791208791,0.9065934065934067,0.9340659340659341
0.1,0.1,1.019967649337039,1.03,0.1794871794871795,1.5662761367818545,0.9560439560439561,0.9065934065934067,0.9725274725274725
0.1,0.2,1.0399352986740784,1.06,0.1794871794871795,1.5653610413179952,0.9615384615384615,0.9505494505494506,0.9945054945054945
0.1,0.3,1.0599029480111175,1.09,0.1794871794871795,1.564477778449271,0.9615384615384615,0.9945054945054945,1.0
0.1,0.35,1.069886772679637,1.105,0.1794871794871795,1.5640475696515164,0.9725274725274725,1.0,1.0
0.1,0.5,1.099838246685196,1.15,0.1794871794871795,1.5628003298566924,0.9560439560439561,0.9780219780219779,0.9780219780219779
0.1,0.8,1.1597411946963134,1.24,0.1794871794871795,1.6424362260080794,0.8901098901098902,0.945054945054945,0.9175824175824175
