run_id,polymer_id,polymer_label,reference_polymer_id,n_points,abs_activity_at_0,native_activity_rel_at_0,native_0,native_activity_min_rel_threshold,native_activity_feasible,abs_activity_at_20,u_at_20,t_theta_min,t_theta_censor_flag,functional_activity_at_20_rel,gox_abs_activity_at_0_ref,gox_abs_activity_at_20_ref,functional_reference_source,functional_reference_round_id,functional_reference_run_id,y0_REA_percent,t50_definition,t50_target_rea_percent,t50_linear_min,t50_exp_min,rea_at_20_percent,fit_model,fit_k_per_min,fit_tau_min,fit_plateau,fit_r2,rea_connector
260209-3,GOx,GOx,GOX,7,23.45333333333333,1.0,1.0,0.7,1,6.122857142857143,0.2610655404856656,3.5163255592574965,,1.0,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,10.58590308370044,9.279807323092594,26.10655404856656,exp,0.07469413495634375,13.387932005430773,,0.9757514800370777,exp
260209-3,GOx with DMSO,GOx with DMSO,GOX,7,25.22333333333333,1.07546901648664,1.07546901648664,0.7,1,6.219999999999996,0.26520750426378614,4.807018455939693,,1.015865608959402,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,10.323312209332034,8.965201494920208,24.659706620853697,exp,0.07731529301964835,12.934051737291705,,0.9890816762004879,exp
260209-3,PMPC,PMPC,GOX,7,15.55666666666666,0.6633030130756109,0.6633030130756109,0.7,0,4.340259740259742,0.18505939768020507,0.0,already_below,0.7088618334535276,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,14.402969429180676,13.272634631360342,27.899676924746583,exp,0.05222378222649101,19.14836416219468,,0.956072328601176,exp
260209-3,PMTAC,PMTAC,GOX,6,19.278787878787877,0.8220063052354127,0.8220063052354127,0.7,1,6.243787927066736,0.2662217706253583,1.4652267014244493,,0.8808962338464836,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,4.935915339974554,8.038680243748136,32.38682829192115,exp,0.08622648986430598,11.59736412294752,,0.9381756395776425,exp
260209-3,PMBTA-1,PMBTA-1,GOX,7,26.84666666666666,1.1446844798180784,1.1446844798180784,0.7,1,5.644761904761902,0.24068058149922836,5.207359522625558,,0.921916316689998,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,9.115489806066636,8.510347507197883,21.02593210117421,exp,0.08144757660879243,12.277836144876138,,0.9948914471736914,exp
260209-3,PMBTA-2,PMBTA-2,GOX,7,26.00666666666666,1.1088686753837407,1.1088686753837407,0.7,1,4.610822510822512,0.19659561586792976,6.063446054750404,,0.753050806713896,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,8.949677938808374,8.541791386659327,17.729386737333428,exp,0.08114775334393098,12.323200073841473,,0.9985281163127843,exp
260209-3,PMBTA-3,PMBTA-3,GOX,7,24.34333333333333,1.0379476975554291,1.0379476975554291,0.7,1,5.209610389610391,0.22212665106354712,6.019948102497564,,0.8508463072158827,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,9.634892961401231,9.521070422484637,21.40056301359876,exp,0.07280139204968303,13.736001082473175,,0.9965139437335145,exp
260209-3,PMBTA-4,PMBTA-4,GOX,7,20.70285714285713,0.8827255745959551,0.8827255745959551,0.7,1,6.760439560439558,0.2882506918891227,6.303926752567279,,1.1041315194371653,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,13.12756649400146,12.630045369733926,32.654621117221176,exp,0.05488081477687896,18.22130382111775,,0.9772403953940907,exp
260209-3,PMBTA-5,PMBTA-5,GOX,7,25.5,1.0872654917566802,1.0872654917566802,0.7,1,5.466147186147187,0.23306483170042017,6.116296717890343,,0.8927445241024337,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,9.769019161449435,9.237697733442822,21.43587131822426,exp,0.07503462448772011,13.327180709269177,,0.9979673032682858,exp
260209-3,PMBTA-6,PMBTA-6,GOX,7,28.48,1.2143263217737352,1.2143263217737352,0.7,1,4.83861471861472,0.20630818868453898,5.828958804102205,,0.7902543870812656,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,7.815922127585603,7.7099508272370265,16.989517972664046,exp,0.08990293143132078,11.123107823952619,,0.9980985886201375,exp
260209-3,PMBTA-7,PMBTA-7,GOX,7,25.03333333333333,1.0673678226264924,1.0673678226264924,0.7,1,6.441601731601731,0.2746561284082603,6.645095645095644,,1.0520581456185747,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,10.96075560992239,10.306793152544653,25.73209746312276,exp,0.06725148844078757,14.869559368644499,,0.9963950301604373,exp
260209-3,PMBTA-8,PMBTA-8,GOX,7,25.51666666666666,1.0879761227970437,1.0879761227970437,0.7,1,5.34878787878788,0.22806088169931274,5.181087904521455,,0.8735771150610164,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,9.59002754188662,8.766010793238843,20.961938127189608,exp,0.07907213405378925,12.646680299784808,,0.9967937677348281,exp
260209-3,PMBTA-9,PMBTA-9,GOX,7,25.653333333333325,1.0938032973280272,1.0938032973280272,0.7,1,5.723809523809524,0.24405100300495416,6.917639633953926,,0.9348265671177477,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,9.891921741874405,9.75560789253103,22.31214731214732,exp,0.07105115213687752,14.07436712741175,,0.9955664206021105,exp
260209-3,PMBTA-10,PMBTA-10,GOX,7,14.979999999999997,0.6387151790790221,0.6387151790790221,0.7,0,3.704761904761905,0.15796312840087715,0.0,already_below,0.6050707730595738,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,14.030013642564807,12.47311347544286,24.73138788225571,exp,0.05557130398313281,17.994898955466716,,0.9759489874643709,exp
260209-3,PMBTA-11,PMBTA-11,GOX,7,19.68952380952381,0.8395192073418339,0.8395192073418339,0.7,1,7.213095238095242,0.3075509623974663,6.02902800175927,,1.1780603515321209,23.45333333333333,6.122857142857143,same_run_gox,,260209-3,100.0,rea50,50.0,15.594659226783577,13.740395923646917,36.63417819483412,exp,0.05044593943374327,19.823201058896334,,0.9656244562811865,exp
