run_id,polymer_id,reference_polymer_id,fog,fog_sem,fog_activity_adjusted,fog_activity_adjusted_sem,log_fog,fog_missing_reason,t50_min,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,activity_weight,t50_censored,use_for_bo,rank_fog
all_rounds-group_mean,PMBTA-11,GOX,1.072025377810505,0.17678895630795463,1.072025377810505,0.17678895630795463,0.06954973569909643,,13.98816172418652,28.444693877551014,25.546095238095234,25.546095238095234,1.1134654283733072,1.0,0,True,1
all_rounds-group_mean,PMBTA-3,GOX,1.0607387273967204,0.05751376423819243,1.0432982725233582,0.05656813438242661,0.05896557803154668,,12.525521951419739,25.12607142857142,28.233333333333327,25.546095238095234,0.9835581991842942,0.9835581991842942,0,True,2
all_rounds-group_mean,PMBTA-4,GOX,1.0376722961737221,0.11210690902338676,1.0376722961737221,0.11210690902338676,0.0369800279360306,,12.001155240395821,28.179047619047612,28.233333333333327,25.546095238095234,1.1030667253219204,1.0,0,True,3
all_rounds-group_mean,GOx,GOX,1.0,0.0,1.0,0.0,0.0,,13.954725321561801,25.546095238095234,25.546095238095234,25.546095238095234,1.0,1.0,0,True,4
all_rounds-group_mean,PMBTA-5,GOX,0.9988308846184205,0.008131778801089635,0.9988308846184205,0.008131778801089635,-0.0011697993300956665,,11.88824020471834,29.647499999999994,28.39735714285714,25.546095238095234,1.160549184667119,1.0,0,True,5
all_rounds-group_mean,PMPC,GOX,1.0526036766848372,0.1374223524999584,0.9812983591592888,0.12811310848232488,0.05126678688682521,,13.50299239051545,23.815555555555548,25.546095238095234,25.546095238095234,0.9322581527074618,0.9322581527074618,0,True,6
all_rounds-group_mean,GOx with DMSO,GOX,0.9608999840489019,0.00569683157512704,0.9608999840489019,0.00569683157512704,-0.039884950299079604,,11.41290793194022,26.92888888888889,26.95333333333333,25.546095238095234,1.0541293547176471,1.0,0,True,7
all_rounds-group_mean,PMBTA-9,GOX,0.9588918013594008,0.05095074544148846,0.9588918013594008,0.05095074544148846,-0.0419770349066071,,12.060523802557187,29.099333333333327,27.69588571428571,25.546095238095234,1.1390912412296725,1.0,0,True,8
all_rounds-group_mean,GOx with EtOH,GOX,0.9218495737066162,0.030583538823985568,0.9218495737066162,0.030583538823985568,-0.08137322089832645,,11.669799761096783,28.743333333333332,32.294999999999995,25.546095238095234,1.1251556476807565,1.0,0,True,9
all_rounds-group_mean,PMBTA-7,GOX,0.9052171410239954,0.07176294038298597,0.9052171410239954,0.07176294038298597,-0.09958042922882548,,10.817038940330772,29.75333333333333,27.69588571428571,25.546095238095234,1.1646920226369515,1.0,0,True,10
all_rounds-group_mean,PMBTA-2,GOX,0.8897237070578392,0.014985721367074246,0.8897237070578392,0.014985721367074246,-0.11684430596093746,,10.48780748446373,27.475357142857135,28.233333333333327,25.546095238095234,1.0755208139162074,1.0,0,True,11
all_rounds-group_mean,PMBTA-8,GOX,0.8755728337784852,0.03384370395562036,0.8755728337784852,0.03384370395562036,-0.13287693965018446,,11.121117334648911,28.560666666666663,27.69588571428571,25.546095238095234,1.1180051745863686,1.0,0,True,12
all_rounds-group_mean,PMBTA-6,GOX,0.8581262381148271,0.03908015908386014,0.8581262381148271,0.03908015908386014,-0.15300405964686856,,10.564918547500152,30.92095238095238,27.69588571428571,25.546095238095234,1.210398383500973,1.0,0,True,13
all_rounds-group_mean,PMBTA-1,GOX,0.8099491199545574,0.06894401609279124,0.8099491199545574,0.06894401609279124,-0.210783848159506,,9.49607041098812,28.88333333333333,28.233333333333327,25.546095238095234,1.1306359372786448,1.0,0,True,14
all_rounds-group_mean,PMBTA-10,GOX,1.0860068676706909,0.16628551356435087,0.738478264435488,0.11307316842401557,0.08250754531374739,,14.621392376141031,17.371194083694085,25.546095238095234,25.546095238095234,0.6799941017126387,0.6799941017126387,0,True,15
all_rounds-group_mean,PMTAC,GOX,0.8212685293053898,0.21358715435591547,0.5829442899469734,0.15160621355247958,-0.1969051471177327,,9.493232395227187,18.132863756613755,25.546095238095234,25.546095238095234,0.7098096044664154,0.7098096044664154,0,True,16
