run_id,polymer_id,reference_polymer_id,fog_native_constrained,fog_native_constrained_sem,fog,native_activity_rel_at_0,native_activity_min_rel_threshold,native_activity_feasible,fog_constraint_reason,abs_activity_at_0,gox_abs_activity_at_0_ref,gox_abs_activity_at_0,abs0_vs_gox,t50_min,use_for_bo,rank_fog_native_constrained
all_rounds-group_mean,PMBTA-11,GOX,1.072025377810505,0.17678895630795463,1.072025377810505,1.1646779591796723,0.7000000000000001,1,nan,28.444693877551014,25.546095238095234,25.546095238095234,1.1134654283733072,13.98816172418652,True,1
all_rounds-group_mean,PMBTA-3,GOX,1.0607387273967204,0.05751376423819243,1.0607387273967204,0.8897768816167464,0.7,1,nan,25.12607142857142,28.233333333333327,25.546095238095234,0.9835581991842942,12.525521951419739,True,2
all_rounds-group_mean,PMBTA-4,GOX,1.0376722961737221,0.11210690902338676,1.0376722961737221,0.9920652038492743,0.7,1,nan,28.179047619047612,28.233333333333327,25.546095238095234,1.1030667253219204,12.001155240395821,True,3
all_rounds-group_mean,GOx,GOX,1.0,0.0,1.0,1.0,0.7,1,nan,25.546095238095234,25.546095238095234,25.546095238095234,1.0,13.954725321561801,True,4
all_rounds-group_mean,PMBTA-5,GOX,0.9988308846184205,0.008131778801089635,0.9988308846184205,1.0584426192496126,0.7,1,nan,29.647499999999994,28.39735714285714,25.546095238095234,1.160549184667119,11.88824020471834,True,5
all_rounds-group_mean,GOx with DMSO,GOX,0.9608999840489019,0.00569683157512704,0.9608999840489019,1.006605567991441,0.6999999999999998,1,nan,26.92888888888889,26.95333333333333,25.546095238095234,1.0541293547176471,11.41290793194022,True,6
all_rounds-group_mean,PMBTA-9,GOX,0.9588918013594008,0.05095074544148846,0.9588918013594008,1.05698057441773,0.7,1,nan,29.099333333333327,27.69588571428571,25.546095238095234,1.1390912412296725,12.060523802557187,True,7
all_rounds-group_mean,GOx with EtOH,GOX,0.9218495737066162,0.030583538823985568,0.9218495737066162,0.8899315765883775,0.7,1,nan,28.743333333333332,32.294999999999995,25.546095238095234,1.1251556476807565,11.669799761096783,True,8
all_rounds-group_mean,PMBTA-7,GOX,0.9052171410239954,0.07176294038298597,0.9052171410239954,1.0839426388283895,0.7,1,nan,29.75333333333333,27.69588571428571,25.546095238095234,1.1646920226369515,10.817038940330772,True,9
all_rounds-group_mean,PMPC,GOX,0.9007877458027798,0.16323384143892486,1.0526036766848372,0.9289113200519191,0.7000000000000001,1,nan;native_activity_below_threshold,23.815555555555548,25.546095238095234,25.546095238095234,0.9322581527074618,13.50299239051545,True,10
all_rounds-group_mean,PMBTA-2,GOX,0.8897237070578392,0.014985721367074246,0.8897237070578392,0.9751559273740568,0.7,1,nan,27.475357142857135,28.233333333333327,25.546095238095234,1.0755208139162074,10.48780748446373,True,11
all_rounds-group_mean,PMBTA-8,GOX,0.8755728337784852,0.03384370395562036,0.8755728337784852,1.0338112875350058,0.7,1,nan,28.560666666666663,27.69588571428571,25.546095238095234,1.1180051745863686,11.121117334648911,True,12
all_rounds-group_mean,PMBTA-10,GOX,0.8651093377358738,0.10677380448497091,1.0860068676706909,0.6892889022308171,0.7000000000000001,0,nan;native_activity_below_threshold,17.371194083694085,25.546095238095234,25.546095238095234,0.6799941017126387,14.621392376141031,True,13
all_rounds-group_mean,PMBTA-6,GOX,0.8581262381148271,0.03908015908386014,0.8581262381148271,1.125904282829397,0.7,1,nan,30.92095238095238,27.69588571428571,25.546095238095234,1.210398383500973,10.564918547500152,True,14
all_rounds-group_mean,PMBTA-1,GOX,0.8099491199545574,0.06894401609279124,0.8099491199545574,1.0346680360410385,0.7,1,nan,28.88333333333333,28.233333333333327,25.546095238095234,1.1306359372786448,9.49607041098812,True,15
all_rounds-group_mean,PMTAC,GOX,0.60523168234107,0.13230156687712596,0.8212685293053898,0.7485232094143743,0.7000000000000001,1,nan;native_activity_below_threshold,18.132863756613755,25.546095238095234,25.546095238095234,0.7098096044664154,9.493232395227187,True,16
